identifier,headline,date,source,who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords
MAR,"Data Breach Class Action Powerhouses Team Up to File First, Fifty",State Lawsuit Against Marriott in Wake of Disastrous Data Breach - 10-Jan,19,DiCello Levitt,Lawsuit,"Data Breach Class Action Powerhouses Team Up to File First, Fifty-State Lawsuit Against Marriott in Wake of Disastrous Data Breach  Thursday, January 10, 2019 05:18:00 PM (GMT) | National class action law firms DiCello Levitt; Hausfeld; Cohen Milstein Sellers & Toll; Cohen & Gresser; and Kramon & Graham have teamed up to file the nation’s largest class action complaint against Marriott (NASDAQ: MAR) following a massive, long-running data breach at the company. With 176 Plaintiffs from all fifty states, the District of Columbia, Puerto Rico, and the Virgin Islands, this landmark court filing comes on the heels of Marriott’s recent admission that approximately 5.25 million unencrypted passport numbers and 20.3 million encrypted passport numbers were among the sensitive customer records accessed by hackers. By the hotel chain’s own acknowledgement, the breach compromised the personal information of nearly 400 million customers who made reservations at Starwood-branded hotels, which Marriott acquired in 2016, making it one of the largest data breaches in the country’s history. | “It is difficult to comprehend how Marriott did not discover a data breach of this size during the course of its due diligence efforts in conjunction with its 2016 Starwood acquisition,” said Amy Keller, a partner with DiCello Levitt, who also serves as Co-Lead Counsel in the nationwide class action against Equifax related to its 2017 data breach. “Marriott has completely failed its customers and it is disingenuous for the company to attempt to downplay the seriousness of this breach.” Co-counsel James Pizzirusso of Hausfeld, who is also a Plaintiffs’ Steering Committee member in the Equifax case, added that, “Our clients have instances of documented fraud that we allege are tied to the breach and Marriott’s empty promise to replace passports for only a select few customers rings hollow.” | If you believe that you have been affected by the Marriott data breach, attorneys are eager to speak with you about the ongoing litigation and how to protect your rights. Call (440) 953-8888 to speak with one of our attorneys.",4,"27, 135, 129, 40",data breach
"0BQ4GW, 05JGBT, MA",DataCash Announces New Partnership With Phoenix Managed Networks (PMN),12-Jun-14,PRNE,,Contracts,"The PMN solution will allow DataCash merchants to easily and comprehensively protect their Point of Sale transaction data by separating payment and non-payment related internet traffic, thus ensuring the risk of potential data breach is significantly reduced.",1,37,data breach
"ARM, ARM, ARMH...",FIDO Alliance Unveils Certification Testing Program for 1.0 Specification and Introduces 31 FIDO Certified(TM) Products,21-May-15,INW,,,"""Certification of serious security components and sub-systems is absolutely essential as we have come to realize how much is at stake when authentication systems don't perform as expected. With major data breaches escalating, so is demand for strong authentication,"" said Steve Wilson, Vice President and Principal Consultant at Constellation Research. ""Moreover, demand for certified authentication solutions is also rising. A standards based authentication solution is only as good as its conformance to those standards. The FIDO Alliance has worked hard on its conformance program from the very beginning. The new FIDO Certified program is well thought through, and isn't just another box ticking exercise. It complements and reinforces the Alliance's rigorous specifications development from incubation right through to standardization.""",1,119,data breach
MAR,"FINAL NOTICE Kaskela Law LLC Announces Shareholder Class Action Lawsuit Against Marriott International, Inc. and Encourages Investors...",30-Jan-19,NEWS_ACW,,,"On November 30, 2018, Marriott reported a potential data breach involving the personal information of 500  million guests. Following this news, shares ofthe Company's common stock fell $6.81 per share, or  over 5.6% in value, toclose on November 30, 2018 at $115.03 per share, on heavy trading volume.",1,48,data breach
"0C6NZN, 09K8D8, MSFT",Fixmo Acquires Leading Microsoft SharePoint Solution for Mobile Devices from Twin,Soft Corporation - 10-Oct,12,Fixmo Inc.,"Product/Service, Trade Show","Twin-Soft has been delivering systems integration (SI) services for enterprise portals, content management systems and business intelligence solutions to Defense and Civilian Government clients for over a decade. With deep expertise and hands-on experience spanning the full lifecycle of Microsoft SharePoint deployments, they have developed a portfolio of services and products that help public and private sector organizations maximize returns on their Microsoft SharePoint investments without compromising security or compliance. The mobile product offering acquired by Fixmo enables native access to Microsoft SharePoint on smartphones and tablets while maintaining custom policy controls and access rights for users on mobile devices. It also provides the ability to enforce location-based policy controls and multi-factor authentication requirements – all without the need to open up full access to SharePoint Web Services.",1,128,Multi-factor authentication
MA,Global Cyber Alliance and Mastercard Launch Cybersecurity Toolkit to Enable Small Businesses to Stay Protected,19-Feb-19,PRNE,,"Not For Profit Organizations, Small Business Services","1 2018 Verizon Data Breach Report  2 OECD | Operational tools that help them take inventory of their cyber-related assets, create and maintain strong passwords, use multi-factor authentication, perform backups of critical data, prevent phishing and viruses, and more How-to materials, such as template policies and forms, training videos, and other foundational documents they can customize for their organizations Recognized best practices from leading organizations in the industry including the Center for Internet Security Controls, the UK's National Cyber Security Centre  Cyber Essentials , the Australian Cyber Security Centre's Essential Eight, and Mastercard",2,"8, 84","Multi-factor authentication, data breach"
MSFT,HID Global Expands Its Portfolio of Converged Logical and Physical Access Solutions With Latest Addition to Its Line of Crescendo Smart Cards,22-Aug-12,PMZ,,Product / Services Announcement,"Delivers Out-of-the-Box, Standards-Compliant, Multi-Factor Authentication Smart Cards for Logical Access Control While Also Supporting a Broad Range of Physical Access Requirements",1,21,Multi-factor authentication
MAR,"INVESTIGATION ALERT REMINDER The Schall Law Firm Announces it is Investigating Claims Against Marriott International, Inc. and Encourages I...",1-Dec-18,BW,The Schall Law Firm,Lawsuit,"The investigation focuses on whether the Company issued false and/or misleading statements and/or failed to disclose information pertinent to investors. Marriott admitted on November 30, 2018, that its Starwood reservation database had suffered a massive data breach exposing the personal information of up to 500 million customers. The parties that engineered the breach may have been able to access personal information including contact details, passport numbers, and even credit card information according to the Company. Based on this news, Marriott shares fell more than 5.5% in morning trading.",1,88,data breach
"MAR, MAR","INVESTOR ALERT Kaskela Law LLC Announces Class Action Lawsuit Against Marriott International, Inc. and Encourages Investors with Loss...",6-Dec-18,PMZ,,"Class Action, Law & Legal Issues","On November 30, 2018, Marriott reported a potential data breach involving the personal information of 500 million guests.  Following this news, shares of the Company’s common stock fell $6.81 per share, or over 5.6% in value, to close on November 30, 2018 at $115.03 per share, on heavy trading volume.",1,50,data breach
"MFC, MFC, MFC...",John Hancock Adds Alexa Skills to Retirement Plan Participant Experience for Frequently Asked Questions,11-Apr-19,PRN,John Hancock,New Products & Services,"Account security and data protection is a serious and important concern to  John Hancock and the company incorporates a variety of safety measures to address potential issues into its skills for Alexa. For example, a participant's identity will be verified through multi-factor authentication during the account linking process. In addition, participants will be required to set up a secure voice code when first enabling the skill in the Alexa app, and recite it correctly before getting access to any account information. No participant account information is recorded or maintained on their Alexa-enabled device or in the hardware servers storing their Amazon account.",1,102,Multi-factor authentication
"0FJPRG, MFC, 0GXFLL",John Hancock Retirement Plan Services Expands Predictive Analytics Capabilities to Close Retirement Savings Gap,15-Mar-18,PRN,John Hancock Retirement Plan Services,New Products & Services,"""The growth and maturity of technology – especially using big data along with sophisticated analytic tools and algorithms - has given us the ability to process massive volumes of data into insightful, interactive, results-driven systems,"" said Lynda Abend , Chief Data Officer, JHRPS. ""We are able to arm advisors and consultants with powerful information that they can use to help plan sponsors make meaningful changes that ultimately benefit participants.""",1,69,chief data officer
"MAR, MAR","LEAD PLAINTIFF DEADLINE ALERT Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $100,000 In Marriott Internatio...",10-Dec-18,PMZ,,"Class Action, Law & Legal Issues","Specifically, on November 30, 2018, before market hours, Marriott reported a potential data breach involving the personal information of 500 million guests. According to the release, there had been unauthorized access to the Starwood network since 2014.",1,37,data breach
"MAR, MAR","LEAD PLAINTIFF DEADLINE ALERT Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $100,000 In Marriott Internatio...",19-Dec-18,PMZ,,"Class Action, Law & Legal Issues","Specifically, on November 30, 2018, before market hours, Marriott reported a potential data breach involving the personal information of 500 million guests. According to the release, there had been unauthorized access to the Starwood network since 2014.",1,37,data breach
MAR,"LEAD PLAINTIFF DEADLINE ALERT Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $100,000 In Marriott International, ...",3-Dec-18,PRN,"Faruqi & Faruqi, LLP",,"Specifically, on November 30, 2018, before market hours, Marriott reported a potential data breach involving the personal information of 500 million guests. According to the release, there had been unauthorized access to the Starwood network since 2014.",1,37,data breach
MAR,"LEAD PLAINTIFF DEADLINE ALERT Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $100,000 In Marriott International, ...",10-Jan-19,PMZ,,"Class Action, Law & Legal Issues","Specifically, on November 30, 2018, before market hours, Marriott reported a potential data breach involving the personal information of 500 million guests. According to the release, there had been unauthorized access to the Starwood network since 2014.",1,37,data breach
MAR,"LEAD PLAINTIFF DEADLINE ALERT Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $100,000 in Marriott International, ...",28-Jan-19,PMZ,,"Class Action, Law & Legal Issues","Specifically, on November 30, 2018, before market hours, Marriott reported a potential data breach involving the personal information of 500 million guests. According to the release, there had been unauthorized access to the Starwood network since 2014.",1,37,data breach
LLY,Lilly and Evidation Health Expand Collaboration to Analyze Data from Smartphones and Connected Sensors,14-Dec-18,PRN,Eli Lilly and Company,,"""Digital health advancements, including mobile devices and wearables, have the potential to improve and personalize health outcomes,"" said Divakar Ramakrishnan, Lilly's Chief Digital Officer. ""By leveraging Evidation's Andromeda platform, Lilly's scientists are gaining a deeper understanding of the physiological, environmental, and contextual indicators that can help shape future advancements in medicine and medicine delivery.""",1,54,Chief digital officer
LLY,Lilly Launches Open Innovation Challenge to Help Transform Inflammatory Bowel Disease (IBD) Care through Digital Health,14-Aug-19,PRN,Eli Lilly and Company,New Products & Services,"""Lilly is investing in digital solutions that can help empower people with chronic conditions, such as IBD, to better manage their own health. Innovation is happening everywhere, and this challenge is aimed at identifying bold ideas outside our walls and collaborating on ways to potentially deliver new solutions to those who need them most,"" said Divakar Ramakrishnan, Ph.D., chief digital officer at Lilly. ""Approximately 3 million Americans have reported being diagnosed with IBD, and Lilly is committed to tackling the challenge of this disease through science and innovation. We're looking for digital innovators to join us.""",1,96,Chief digital officer
"LLY, 064RNX",Lilly Names HealthVoyager as Winner of Digital Health Innovation Challenge for Inflammatory Bowel Disease (IBD),2-Dec-19,PRN,Eli Lilly and Company,Human Interest Groups,"""The submissions we received for this innovation challenge were outstanding. We were impressed by the many bold and innovative ideas leveraging digital technologies aimed at helping people better manage this difficult chronic illness,"" said Divakar Ramakrishnan, Ph.D., chief digital officer at Lilly. ""We selected HealthVoyager as our winner because the solution spoke to our mission of making lives better for people around the world. Taking a patient-centric approach, the platform focuses on educating and informing the patient in a truly individualized and creative way.""",1,84,Chief digital officer
LYV,"Live Nation Entertainment, Inc.(LYV",US) Schedules Q1 2019 Earnings Call for 2-May-2019 500 PM ET,18,,,,,,
LYV,"Live Nation Entertainment, Inc.(LYV",US) Schedules Q2 2018 Earnings Call for 26-July-2018 500 PM ET,12,,,,,,
LYV,"Live Nation Entertainment, Inc.(LYV",US) Schedules Q3 2019 Earnings Call for 31-October-2019 500 PM ET,17,,,,,,
LYV,"Live Nation Entertainment, Inc.(LYV",US) Schedules Q4 2018 Earnings Call for 28-February-2019 500 PM ET,15,,,,,,
LYV,"Live Nation Entertainment, Inc.(LYV",US) Schedules Q4 2019 Earnings Call for 27-February-2020 500 PM ET,13,,,,,,
M,MACYS INC  Press Release,26-Mar-20,NEWS_CR,,,Chief Digital Officer,1,3,Chief digital officer
M,MACYS INC  Press Release,28-Apr-20,NEWS_CR,,,Chief Digital Officer,1,3,Chief digital officer
M,Macy's Latest Collaborations and Technology Enhancements Are Set to Bring New Consumer Experiences to Its Best,in-Class App and In-Store,4,Macy’s,"Conference, Product/Service, Trade Show","Five of Macy’s, Inc.’s top female executives took the stage at Shoptalk in Las Vegas to share key insights and their unique business perspectives at the annual gathering of technology and retail brands and executives. Paula A. Price, chief financial officer, highlighted new economic models and store formats Macy’s is exploring to build lifetime customer value and bring new customers into the brand. Jill Ramsey, chief digital officer and Rachel Shechtman, brand experience officer and founder of STORY, shared new technology enhancements and collaborations that will reinvigorate the customer experience and transform the way Macy’s works. Nata Dvir, general business manager of beauty, discussed how Macy’s is using technology to evolve its beauty experience both in-store and online. Shawn Outler, chief diversity officer, is set to discuss today The Workshop at Macy’s, the first retail vendor development program of its kind, geared towards minority and women-owned businesses.",1,147,Chief digital officer
M,"Macy's, Inc. Announces Pricing of Offering of Senior Secured Notes",27-May-20,NEWS_CR,,,Chief Digital Officer,1,3,Chief digital officer
M,"Macy's, Inc.(M",US) Schedules Bank of America Merrill Lynch Securities Consumer & Retail Technology Conference for 10-March-2020 800 AM ET,25,,,,,,
M,"Macy's, Inc.(M",US) Schedules Investor Day for 5-February-2020 800 AM ET,21,,,,,,
"MSFT, MAERSK.B",Maersk goes big in digital transformation with Microsoft,26-Apr-17,PRN,Microsoft Corp.,Corporate Development,"In total, Maersk estimates that the power of data will help save tens of millions of dollars to the bottom line annually. ""Our aim is to simplify and enhance visibility in supply chains by providing a seamless end-to-end digital experience for our customers,"" said Ibrahim Gokcen, chief digital officer, Maersk. ""Microsoft Azure is the cornerstone in our digital strategy, providing one common platform shared by all our transport and logistics businesses. On Azure, we are also creating a marketplace of apps and digital products that improve operations and drive better business decisions.""",1,92,Chief digital officer
MPC,"Marathon Petroleum Corp. Names Ehren D. Powell as Senior Vice President, Chief Digital Officer",25-Jun-20,PRN,Marathon Petroleum Corporation,,"Marathon Petroleum Corp. Names Ehren D. Powell as Senior Vice President, Chief Digital Officer  Thursday, June 25, 2020 01:00:00 PM (GMT) | FINDLAY, Ohio, June 25, 2020 /PRNewswire/ -- Marathon Petroleum Corp. (NYSE: MPC) today announced Ehren D. Powell will join the company as Senior Vice President, Chief Digital Officer, effective  July 20. Powell, who will lead technology strategy across the company's businesses and manage its digital and information technology assets, will report to MPC President and Chief Executive Officer Michael J. Hennigan. He will be based in San Antonio, Texas.    | powell-as-senior-vice-president-chief-digital-officer-301083636.html",3,"21, 69, 1","Chief digital officer, Chief-digital-officer"
MAR,"MARRIOTT 24 HOUR DEADLINE ALERT Approximately 24 Hours Remain ClaimsFiler Reminds Investors with Losses in Excess of $100,000 of Deadline ...",29-Jan-19,BW,ClaimsFiler,Lawsuit,"On November 30, 2018, Marriott disclosed a massive security breach in its guest reservation database potentially exposing the credit card, passport and other personal data of “up to approximately 500 million guests” over a four year period, which media reports called one of the largest data breaches on record.",1,49,data breach
MAR,"MARRIOTT 5 DAY DEADLINE ALERT Approximately 5 Days Remain Former Louisiana Attorney General and Kahn Swick & Foti, LLC Remind Investors wi...",25-Jan-19,BW,"Kahn Swick & Foti, LLC",Lawsuit,"On November 30, 2018, Marriott disclosed a massive security breach in its guest reservation database potentially exposing the credit card, passport and other personal data of “up to approximately 500 million guests” over a four year period, which media reports called one of the largest data breaches on record.",1,49,data breach
MAR,Marriott Class Action Lawsuit Bernstein Liebhard LLP Announces That A Securities Class Action Lawsuit Has Been Filed Against Marriott Inte...,3-Dec-18,PRN,Bernstein Liebhard LLP,,"On November 30, 2018, Marriott disclosed that it had identified a data breach in its Starwood reservation database that may have exposed the personal information of up to 500 million guests. An unauthorized party may have had access to names, addresses, phone numbers, email addresses, passport numbers, date of birth information, and travel details for approximately 327 million guests. Marriott also disclosed that ""[f]or some, the information also includes payment card numbers and payment card expiration dates.""",1,77,data breach
"MAR, MAR",Marriott Class Action Lawsuit Bernstein Liebhard Llp Announces That a Securities Class Action Lawsuit Has Been Filed Against Marriott...,4-Dec-18,PMZ,,"Class Action, Company Announcement",,,,
MAR,Marriott could have stopped its data breach much sooner,WSJ - 02-Dec,18,,"Articles, Reports, Conjecture, Media Summaries, Published Reports  Related Stories:","Marriott could have stopped its data breach much sooner - WSJ   Monday, December 03, 2018 03:55:20 AM (GMT)",1,18,data breach
MAR,Marriott data breach allegedly linked to Chinese intelligence,gathering effort - NY Times - 11,Dec,,"Articles, Reports, Conjecture, Media Summaries, Other Regulatory, Published Reports, Regulatory  Related Stories:","Marriott data breach allegedly linked to Chinese intelligence-gathering effort - NY Times   Wednesday, December 12, 2018 01:36:11 AM (GMT) | Marriott could have stopped its data breach much sooner - WSJ",2,"19, 11",data breach
MAR,"Marriott International, Inc.(MAR","US) Schedules Barclays Gaming, Lodging, Leisure, Restaurant & Food Retail Conference for 4-December-201...",2,,,,,,
MAR,"Marriott International, Inc.(MAR",US) Schedules Q4 2018 Earnings Call for 1-March-2019 1000 AM ET,5,,,,,,
MAR,"MARRIOTT INVESTIGATION INITIATED BY FORMER LOUISIANA ATTORNEY GENERAL Kahn Swick & Foti, LLC Investigates the Officers and Directors of Mar...",30-Nov-18,BW,"Kahn Swick & Foti, LLC",Lawsuit,"On November 30, 2018, the Company disclosed that its investigation of a September 8, 2018 security alert, led to the conclusion on November 19th that a massive security breach in a guest reservation database had occurred potentially exposing the credit card, passport and other personal data of “up to approximately 500 million guests” over a four year period in what news reports are describing as one of the largest data breaches on record based on scope of time and volume of potential victims.",1,83,data breach
MAR,"MARRIOTT INVESTIGATION UPDATE BY FORMER LOUISIANA ATTORNEY GENERAL  Kahn Swick & Foti, LLC Continues to Investigate the Officers and Direc...",15-Mar-19,PRN,"Kahn Swick & Foti, LLC",,"On November 30, 2018, the Company disclosed that its investigation of a  September 8, 2018 security alert, led to the conclusion on November 19th that a massive security breach in a guest reservation database had occurred potentially exposing the credit card, passport and other personal data of ""up to approximately 500 million guests"" over a four year period in what news reports are describing as one of the largest data breaches on record based on scope of time and volume of potential victims. | To date, the Company's actions, directed by its executives, in relation to the data breach  have exposed it to approximately 100 class action lawsuits filed by consumers, a securities class action lawsuit for failing to disclose material information to investors in violation of federal securities laws, and numerous investigations by federal and state governmental authorities including Attorneys General offices from all 50 states and the District of Columbia, the Federal Trade Commission, the Securities and Exchange Commission, and certain committees of the U.S. Congress.",2,"83, 84",data breach
MAR,"MARRIOTT INVESTIGATION UPDATE by Former Louisiana Attorney General Kahn Swick & Foti, LLC Continues to Investigate the Officers and Directo...",1-Mar-19,BW,"Kahn Swick & Foti, LLC",Lawsuit,"On November 30, 2018, the Company disclosed that its investigation of a September 8, 2018 security alert, led to the conclusion on November 19th that a massive security breach in a guest reservation database had occurred potentially exposing the credit card, passport and other personal data of “up to approximately 500 million guests” over a four year period in what news reports are describing as one of the largest data breaches on record based on scope of time and volume of potential victims. | To date, the Company’s actions, directed by its executives, in relation to the data breach have exposed it to approximately 100 class action lawsuits filed by consumers, a securities class action lawsuit for failing to disclose material information to investors in violation of federal securities laws, and numerous investigations by federal and state governmental authorities including Attorneys General offices from all 50 states and the District of Columbia, the Federal Trade Commission, the Securities and Exchange Commission, and certain committees of the U.S. Congress.",2,"83, 84",data breach
MAR,"MARRIOTT SHAREHOLDER ALERT by Former Louisiana Attorney General Kahn Swick & Foti, LLC Reminds Investors with Losses in Excess of $100,000 ...",21-Dec-18,BW,"Kahn Swick & Foti, LLC",Lawsuit,"On November 30, 2018, the Company disclosed a massive security breach discovered in its guest reservation database potentially exposing the credit card, passport and other personal data of “up to approximately 500 million guests” over a four year period in what news reports are describing as one of the largest data breaches on record based on scope of time and volume of potential victims.",1,64,data breach
