identifier,headline,date,source,source,subject,relevant_text,paragraphs,word count,keywords,path
ANF,Abercrombie & Fitch Co.(ANF,US) Schedules Q3 2016 Earnings Call for 18-November-2016 830 AM ET,4,,,,0,0,,ANF - Abercrombie & Fitch Co.(ANF-US) Schedules Q3 2016 Earnings Call for 18-November-2016 830 AM ET - 04-Nov-16 - FCSTEV.pdf
"ANF, ANF",Abercrombie & Fitch Earns Top Marks in 2014 Corporate Equality Index,8-Jan-14,BW,Abercrombie & Fitch Co.,Award,"The Human Rights Campaign is America’s largest civil rights organization working to achieve lesbian, gay, bisexual and transgender equality. By inspiring and engaging all Americans, HRC strives to end discrimination against LGBT citizens and realize a nation that achieves fundamental fairness and equality for all. | “Abercrombie & Fitch has a longstanding commitment to embracing diversity in the workplace and is a proud supporter of the LGBT community,” said Todd Corley, Senior Vice President, Chief Diversity Officer, Abercrombie & Fitch. “The Human Rights Campaign has awarded us a score of 100 percent in their Corporate Equality Index since 2007. We’re delighted to earn another perfect score on the 2014 index.”",2,"45, 64","Chief Diversity Officer, gender equality","ANF, ANF - Abercrombie & Fitch Earns Top Marks in 2014 Corporate Equality Index - 08-Jan-14 - BW.pdf"
"ANF, ANF",Abercrombie & Fitch Increases Support of Anti,Bullying Efforts and Launches College Scholarship Program - 11-Jun,13,Abercrombie & Fitch Co.,Product/Service,"“We’ve listened to the conversations and heard the message and, as a company, look forward to increasing our commitment to anti-bullying efforts,” said Mike Jeffries, Chairman and Chief Executive Officer of Abercrombie & Fitch. “We are fully committed to fostering a culture of diversity and inclusion – one in which no young person should ever feel intimidated, especially at school, whether for the clothes they wear, or because someone perceives them as different.” | “We are proud to offer college tuition assistance to individuals who have been victims of bullying, yet have found ways to achieve academic success, as well as those who have advanced the anti-bullying cause,” said Todd Corley, Abercrombie & Fitch Senior Vice President of Diversity and Inclusion.",2,"73, 47",Diversity and Inclusion,"ANF, ANF - Abercrombie & Fitch Increases Support of Anti-Bullying Efforts and Launches College Scholarship Program - 11-Jun-13 - BW.pdf"
ANF,Abercrombie & Fitch Launches 2020 Face Your Fierce Campaign Featuring Inclusive & Inspiring Cast,6-Feb-20,PMZ,,Lifestyle,,0,0,,ANF - Abercrombie & Fitch Launches 2020 Face Your Fierce Campaign Featuring Inclusive & Inspiring Cast - 06-Feb-20 - PMZ.pdf
ANF,"Abercrombie & Fitch Relaunches Iconic Fragrance, Fierce",31-Jan-19,PMZ,,Company Announcement,"The  new  faces  of  Fierce  are:  Julian  Schneyder  (Judo  Fighter),  Romelu  Lukaku  (Manchester  United  Soccer player), Jayson Tatum (Small Forward-Boston Celtics NBA), Ryan Garcia (Professional Boxer), Lyon Herron (surfer,  photographer,  survivor),  Julia  Muniz  (surfer),  Giovanni  Messina  (Kiteboarder),  Brianna  Hildebrand (Actress,  LGBTQ+  activist),  Keiynan  Londsdale  (Actor,  Musician,  LGBTQ+  activist),  Deon  Hinton  (Content Creator), Jon Herrmann (actor), Anthony Kongphan (Pro Gamer, St Jude’s Children’s Hospital ambassador), Chella  Man  (Artist,  Transgender  /  Deaf  Activist),  Akintunde  Ahmad  (Journalist  and  Diversity  in  Education Advocate),  Ben  Nemtin  (Author,  Speaker,  Founder  of  ‘The  Buried  Life’),  Napoleon  Jinnies  (First  Male  NFL Pro  Cheerleader  and  Make-Up Artist),  Elyse  Fox  (Director,  founder  of  NGO  ‘Sad  Girls  Club’), Aaron  Cadell (Baker,  founder  of  ‘Mr  Holmes  Bakehouse’  in  LA), Ahmed  Mahmood  (YouTuber,  Comedian),  and  the  Malibu volunteer firefighters.",1,126,diversity,"ANF - Abercrombie & Fitch Relaunches Iconic Fragrance, Fierce - 31-Jan-19 - PMZ.pdf"
ADBE,Adobe Incorporated(ADBE,US) Schedules Q1 2020 Earnings Call for 12-March-2020 500 PM ET,22,,,,0,0,,ADBE - Adobe Incorporated(ADBE-US) Schedules Q1 2020 Earnings Call for 12-March-2020 500 PM ET - 22-Feb-20 - FCSTEV.pdf
ADBE,"Adobe Systems, Inc.(ADBE",US) Schedules Q3 2017 Earnings Call for 19-September-2017 500 PM ET,1,,,,0,0,,"ADBE - Adobe Systems, Inc.(ADBE-US) Schedules Q3 2017 Earnings Call for 19-September-2017 500 PM ET - 01-Dec-16 - FCSTEV.pdf"
ADBE,"Adobe, Inc.(ADBE",US) Schedules Analyst Meeting for 4-November-2019 500 PM ET,29,,,,0,0,,"ADBE - Adobe, Inc.(ADBE-US) Schedules Analyst Meeting for 4-November-2019 500 PM ET - 29-Jul-19 - FCSTEV.pdf"
ADBE,"Adobe, Inc.(ADBE",US) Schedules Q4 2018 Earnings Call for 13-December-2018 500 PM ET,31,,,,0,0,,"ADBE - Adobe, Inc.(ADBE-US) Schedules Q4 2018 Earnings Call for 13-December-2018 500 PM ET - 31-Aug-17 - FCSTEV.pdf"
AFL,Aflac Amends Employee Benefits to Address COVID,19 Concerns - 13-Mar,20,Aflac,,"About Aflac Incorporated Aflac Incorporated (NYSE: AFL) is a Fortune 500 company, helping provide protection to more than 50 million people through its subsidiaries in Japan and the U.S., where it is a leading supplemental insurer by paying cash fast when policyholders get sick or injured. For more than six decades, insurance policies of Aflac Incorporated's subsidiaries have given policyholders the opportunity to focus on recovery, not financial stress. Aflac Life Insurance Japan is the leading provider of medical and cancer insurance in Japan, where it insures 1 in 4 households. Fortune magazine recognized Aflac as one of the 100 Best Companies to Work for in America for 20 consecutive years. For 14 consecutive years, Aflac Incorporated has been recognized by Ethisphere as one of the World's Most Ethical Companies. In 2020, Fortune included Aflac Incorporated on its list of World's Most Admired Companies for the 19th time, and Bloomberg added Aflac Incorporated to its Gender-Equality Index, which tracks the financial performance of public companies committed to supporting gender equality through policy development, representation and transparency. To find out how to get help with expenses health insurance doesn't cover, get to know us at aflac.com.",1,195,gender equality,AFL - Aflac Amends Employee Benefits to Address COVID-19 Concerns - 13-Mar-20 - PRN.pdf
"AFL, 0JZ7X6",Aflac Continues to Put People First with 'Not Alone' Marketing Campaign,23-Apr-20,PRN,Aflac,,"About Aflac Incorporated  Aflac Incorporated (NYSE: AFL) is a Fortune 500 company, helping provide protection to more than 50 million people through its subsidiaries in Japan and the U.S., where it is a leading supplemental insurer by paying cash fast when policyholders get sick or injured. For more than six decades, insurance policies of Aflac Incorporated's subsidiaries have given policyholders the opportunity to focus on recovery, not financial stress. Aflac Life Insurance Japan is the leading provider of medical and cancer insurance in Japan where it insures 1 in 4 households. For 14 consecutive years, Aflac Incorporated has been recognized by Ethisphere as one of the World's Most Ethical Companies. In 2020, Fortune included Aflac Incorporated on its list of World's Most Admired Companies for the 19th time, and Bloomberg added Aflac Incorporated to its Gender-Equality Index, which tracks the financial performance of public companies committed to supporting gender equality through policy development, representation and transparency. To find out how to get help with expenses health insurance doesn't cover, get to know us at aflac.com or aflac.com/espanol.",1,177,gender equality,"AFL, 0JZ7X6 - Aflac Continues to Put People First with 'Not Alone' Marketing Campaign - 23-Apr-20 - PRN.pdf"
AFL,"Aflac Incorporated Announces First Quarter Results, Reports First Quarter Net Earnings of $566 Million, Withdraws Annual Adjusted EPS Guida...",29-Apr-20,PRN,Aflac Incorporated,"Conference Call Announcements, Earnings, Dividends & Forecasts","Equality Index, which tracks the financial performance of public companies committed to supporting gender equality through policy development, representation and transparency. To learn how to get help with expenses health insurance doesn't cover, get to know us at aflac.com.",1,39,gender equality,"AFL - Aflac Incorporated Announces First Quarter Results, Reports First Quarter Net Earnings of $566 Million, Withdraws Annual Adjusted EPS Guida... - 29-Apr-20 - PRN.pdf"
AFL,"Aflac Incorporated Announces Fourth Quarter Results, Reports Fourth Quarter Net Earnings of $782 Million, 2019 Adjusted EPS In Line With Up...",4-Feb-20,PRN,Aflac Incorporated,"Conference Call Announcements, Earnings, Dividends & Forecasts","ABOUT AFLAC INCORPORATED Aflac Incorporated (NYSE: AFL) is a Fortune 500 company, helping provide protection to more than 50 million people through its subsidiaries in Japan and the U.S., where it is a leading supplemental insurer by paying cash fast when policyholders get sick or injured. For more than six decades, insurance policies of Aflac Incorporated's subsidiaries have given policyholders the opportunity to focus on recovery, not financial stress. Aflac Life Insurance Japan is the leading provider of medical and cancer insurance in Japan, where it insures 1 in 4 households. Through its trailblazing One Day PaySM initiative in the United States, for eligible claims, Aflac can process, approve and electronically send funds to claimants for quick access to cash in just one business day. Fortune magazine recognized Aflac as one of the 100 Best Companies to Work for in America for 20 consecutive years. For 13 consecutive years, Aflac has been recognized by Ethisphere as one of the World's Most Ethical Companies. In 2020, Fortune included Aflac Incorporated on its list of World's Most Admired Companies for the 19th time, and Bloomberg added Aflac Incorporated to its Gender- Equality Index, which tracks the financial performance of public companies committed to supporting gender equality through policy development, representation and transparency. To find out more about One Day",1,217,gender equality,"AFL - Aflac Incorporated Announces Fourth Quarter Results, Reports Fourth Quarter Net Earnings of $782 Million, 2019 Adjusted EPS In Line With Up... - 04-Feb-20 - PRN.pdf"
AFL,Aflac Incorporated Appears on Fortune's List of World's Most Admired Companies for 19th Time,22-Jan-20,PRN,Aflac Incorporated,,"Aflac's high ranking for social responsibility (No. 3) reflects its diverse U.S. workforce that is 67% female and more than 40% minority. In addition, Aflac Life Insurance Japan, with leadership that is composed of 30.7% women as of the end of 2019, surpassed its goal of attaining 30% female leadership by the end of 2020. Since 1995, the company has also contributed more than $140 million to help families facing childhood cancer and other blood disorders. As a recipient of the Ethisphere's World's Most Ethical Companies recognition for 13 consecutive years and a first-time member of Bloomberg's Gender-Equality Index, Aflac Incorporated also boasts strong standards for ethics and governance. The company also ranked No. 3 in the Quality of Products/Services and Use of Corporate Assets categories.",1,126,gender-equality,AFL - Aflac Incorporated Appears on Fortune's List of World's Most Admired Companies for 19th Time - 22-Jan-20 - PRN.pdf
AFL,Aflac Incorporated Changing 2020 Annual Meeting of Shareholders to Virtual,Only Meeting Format due to COVID-19 - 06,Apr,Aflac Incorporated,Conference Call Announcements,"ABOUT AFLAC INCORPORATED Aflac Incorporated (NYSE: AFL) is a Fortune 500 company, helping provide protection to more than 50 million people through its subsidiaries in Japan and the U.S., where it is a leading supplemental insurer by paying cash fast when policyholders get sick or injured. For more than six decades, insurance policies of Aflac Incorporated's subsidiaries have given policyholders the opportunity to focus on recovery, not financial stress. Aflac Life Insurance Japan is the leading provider of medical and cancer insurance in Japan where it insures 1 in 4 households. For 14 consecutive years, Aflac Incorporated has been recognized by Ethisphere as one of the World's Most Ethical Companies. In 2020, Fortune included Aflac Incorporated on its list of World's Most Admired Companies for the 19th time, and Bloomberg added Aflac Incorporated to its Gender- Equality Index, which tracks the financial performance of public companies committed to supporting gender equality through policy development, representation and transparency. To find out how to get help with expenses health insurance doesn't cover, get to know us at aflac.com or aflac.com/espanol.",1,178,gender equality,AFL - Aflac Incorporated Changing 2020 Annual Meeting of Shareholders to Virtual-Only Meeting Format due to COVID-19 - 06-Apr-20 - PRN.pdf
AFL,Aflac Incorporated Donates $1 Million to Crisis Text Line to Assist Frontline Workers in U.S. Experiencing Emotional Distress,26-May-20,PRN,Aflac,"Corporate Social Responsibility, Not For Profit Organizations","About Aflac Incorporated Aflac Incorporated (NYSE: AFL) is a Fortune 500 company, helping provide protection to more than 50 million people through its subsidiaries in Japan and the U.S., where it is a leading supplemental insurer by paying cash fast when policyholders get sick or injured. For more than six decades, insurance policies of Aflac Incorporated's subsidiaries have given policyholders the opportunity to focus on recovery, not financial stress. Aflac Life Insurance Japan is the leading provider of medical and cancer insurance in Japan where it insures 1 in 4 households. For 14 consecutive years, Aflac Incorporated has been recognized by Ethisphere as one of the World's Most Ethical Companies. In 2020, Fortune included Aflac Incorporated on its list of World's Most Admired Companies for the 19th time, and Bloomberg added Aflac Incorporated to its Gender-Equality Index, which tracks the financial performance of public companies committed to supporting gender equality through policy development, representation and transparency. To find out how to get help with expenses health insurance doesn't cover, get to know us at aflac.com or aflac.com/espanol.",1,177,gender equality,AFL - Aflac Incorporated Donates $1 Million to Crisis Text Line to Assist Frontline Workers in U.S. Experiencing Emotional Distress - 26-May-20 - PRN.pdf
AFL,Aflac Incorporated Donates $5 Million as Part of Company's Overall COVID,19 Pandemic Response - 14-Apr,20,Aflac,Corporate Social Responsibility,"About Aflac Incorporated Aflac Incorporated (NYSE: AFL) is a Fortune 500 company, helping provide protection to more than 50 million people through its subsidiaries in Japan and the U.S., where it is a leading supplemental insurer by paying cash fast when policyholders get sick or injured. For more than six decades, insurance policies of Aflac Incorporated's subsidiaries have given policyholders the opportunity to focus on recovery, not financial stress. Aflac Life Insurance Japan is the leading provider of medical and cancer insurance in Japan where it insures 1 in 4 households. For 14 consecutive years, Aflac Incorporated has been recognized by Ethisphere as one of the World's Most Ethical Companies. In 2020, Fortune included Aflac Incorporated on its list of World's Most Admired Companies for the 19th time, and Bloomberg added Aflac Incorporated to its Gender-Equality Index, which tracks the financial performance of public companies committed to supporting gender equality through policy development, representation and transparency. To find out how to get help with expenses health insurance doesn't cover, get to know us at aflac.com or aflac.com/espanol.",1,177,gender equality,AFL - Aflac Incorporated Donates $5 Million as Part of Company's Overall COVID-19 Pandemic Response - 14-Apr-20 - PRN.pdf
AFL,Aflac Incorporated Marks 1st Appearance on 2020 Bloomberg Gender,Equality Index - 21-Jan,20,Aflac,Human Interest Groups,"The GEI tracks the financial performance of public companies committed to supporting gender equality through policy development, representation and transparency. The reference index measures gender equality across five pillars: female leadership and talent pipeline, equal pay and gender pay parity, inclusive culture, sexual harassment policies and pro-women brand. This year, Bloomberg expanded the eligibility for inclusion in the index to nearly 6,000 companies across 84 countries and regions. | Through disclosure of gender-related metrics using the GEI framework, the firms included in the 2020 GEI have provided a comprehensive look at their investment in workplace gender equality and the communities in which they operate. Aflac Incorporated was included in this year's index for scoring at or above a global threshold established by Bloomberg to reflect a high level of disclosure and overall performance across the framework's five pillars. | ""The 325 companies included in the 2020 GEI have shown their commitment to transparency and demonstrated leadership in gender-related data reporting,"" said Peter T. Grauer , chairman of Bloomberg. ""Disclosure of company statistics and practices is an important first step in supporting gender equality globally."" | ""Aflac Incorporated's inclusion as one of only 325 companies in the 2020 Bloomberg Gender-Equality Index is the ultimate third-party validation of our company's commitment to fairness, diversity and inclusion, and parity,"" Aflac Chairman and CEO Dan Amos  said. ""I am convinced that our steadfast commitment to fairness, which has made Aflac a workplace of choice for women, continues to contribute to the consistent growth that has seen annual revenues increase from $2 billion in 1990 to more than $22 billion today."" | Aflac Incorporated Marks 1st Appearance on 2020 Bloomberg Gender-Equality Index   Tuesday, January 21, 2020 02:42:00 PM (GMT) | COLUMBUS, Ga., Jan. 21, 2020 /PRNewswire/ -- Aflac Incorporated today announced that it is one of 325 companies across 50 industries included in the 2020 Bloomberg Gender-Equality Index (GEI). This is the first year that Aflac participated in the survey to become part of this prestigious index. | ""Significant components of inclusion in the Bloomberg Gender-Equality Index require companies to demonstrate openness and clarity when sharing key data points about the way they conduct business, including ethical behavior and a commitment to corporate responsibility,"" said Aflac Senior Vice President, Chief Environmental, Social and Governance (ESG) and Communications Officer Catherine Hernandez- Blades. ""As ESG issues continue to powerfully influence the actions of consumers, investors and stakeholders, it is important that Aflac demonstrates — with authenticity — that we are a responsible company that understands the correlation between profits and purpose. Through our award-winning Corporate Social Responsibility Report, public-facing websites, financial disclosures and more, we believe Aflac is extremely forthright and are pleased that the Bloomberg Gender Equity Index analysts agree."" | incorporated-marks-1st-appearance-on-2020-bloomberg-gender-equality-index-300990339.html",8,"68, 69, 45, 81, 17, 47, 121, 1","gender-equality, sexual harassment, gender equality, Diversity and Inclusion",AFL - Aflac Incorporated Marks 1st Appearance on 2020 Bloomberg Gender-Equality Index - 21-Jan-20 - PRN.pdf
