identifier,headline,date,source,who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords
"CBS, CBS.A",CBS Announces Recipients of $20 Million Grant to Support Eliminating Sexual Harassment in the Workplace,14-Dec-18,PRN,CBS Corporation,"Corporate Social Responsibility, Human Interest Groups","CBS Announces Recipients of $20 Million Grant to Support Eliminating Sexual Harassment in the Workplace  Friday, December 14, 2018 04:15:00 PM (GMT) | NEW YORK , Dec. 14, 2018 /PRNewswire/ -- CBS Corporation (NYSE: CBS.A and CBS) announced today that it will disburse a pledged $20 million to 18 organizations to support eliminating sexual harassment in the workplace. These organizations represent different critical approaches to combatting sexual harassment, including efforts to change culture and improve gender equity in the workplace, train and educate employees, and provide victims with services and support. CBS' support of these endeavors ties into the Company's ongoing commitment to strengthening its own workplace culture.  | grant-to-support-eliminating-sexual-harassment-in-the-workplace-300765770.html",3,"22, 85, 1","sexual-harassment, sexual harassment"
CBS,"CBS board meeting ends with no action against Les Moonves, other than the directors saying they're looking for outside counsel to investiga...",30-Jul-18,SA,,"Corporate Actions, Management Changes, Other Corporate Actions  Related Stories:","""CBS board meeting ends with no action against Les Moonves, other than the directors saying they're looking for outside counsel to investigate sexual misconduct allegations"" - Tweet by @HowardKurtz  Monday, July 30, 2018 07:55:28 PM (GMT)",1,36,sexual misconduct
CBS,CBS board said to have been aware of allegations against Moonves for months,#NAME?,Aug,,"Articles, Reports, Conjecture, Media Summaries, Published Reports  Related Stories:","Citing sources, the LA Times reports that the CBS board has known for several months that the LAPD was investigating allegations of sexual assault by CEO Les Moonves as he had disclosed the investigation to a board committee The board committee then brought in an external law firm to investigate the allegations, which concluded it didn't warrant any further action, according to a source cited in the report | looking for outside counsel to investigate sexual misconduct allegations"" - Tweet by @HowardKurtz | CBS directors looking at whether chairman/CEO Les Moonves needs to temporarily step down - WSJ CBS issues statement in response to New Yorker article CBS' Les Moonves accused of sexual misconduct -- Hollywood Reporter",3,"68, 13, 34","sexual misconduct, sexual assault"
CBS,"CBS close to settlement that would sever ties with Moonves, end litigation with National Amusements",#NAME?,Sep,,"Articles, Reports, Conjecture, Corporate Actions, Litigation, Management Changes, Media Summaries, Other Corporate Actions, Published Reports  Related Stories:","Citing sources, CNBC reports that CBS' board is close to completing a settlement that would both end litigation with controlling shareholder National Amusements and cut ties with CEO Leslie Moonves. Talks are said to be fluid, but the parties hope to complete the settlement deal prior to the start of trading on Monday. The news that a settlement is near comes as a New Yorker  article published Sunday morning detailed sexual harassment allegations against Moonves by six additional women.",1,79,sexual harassment
CBS,CBS Corp.(CBS,US) Schedules Q3 2018 Earnings Call for 1-November-2018 430 PM ET,2,,,,0,0,
"CBS, CBS.A",CBS Corporation And The Association of National Advertisers Announce New Multi,Pronged Partnership Supporting #SeeHer Initiative - 26-Oct,17,CBS Corporation,"Corporate Social Responsibility, Human Interest Groups","""This is a strong alliance that will use our many forms of media to generate awareness, education and hopefully change on a very important issue,"" said Jo Ann Ross , President and Chief Advertising Revenue Officer, CBS Corporation. ""In line with #SeeHer's theme, 'if you can see her, you can be her,' we are passionate about showcasing respectful, authentic and powerful depictions of women and girls as we continue to promote diversity and inclusion through our programming.""",1,77,Diversity and Inclusion
"CBS, 08B3NQ","CBS Corporation Announces EYE Speak, A Company",wide Program To Promote Female Empowerment And Help Develop The Next Generation Of... - 21-Feb,18,CBS Corporation,Human Interest Groups,"NEW YORK , Feb. 21, 2018 /PRNewswire/ -- CBS Corporation today announced the launch of ""EYE Speak,"" a program designed to promote female empowerment and help forge a path of growth and opportunity for women in the Company as well as the entertainment industry as a whole. The program was announced today by Jo Ann Ross , President and Chief Advertising Revenue Officer, CBS Corporation. ""EYE Speak"" was conceived and developed by colleagues at CBS Television Studios, CBS Entertainment Diversity and Inclusion, CBS Corporate Communications and CBS Sales. | Contacts: CBS Television Studios Press Contact: Lauri Metrose, 818-655-7223, lauri.metrose@cbs.com, CBS Corporation Press Contact: Kelli Raftery, 212-975-3161, Kelli.Raftery@cbs.com, CBS Entertainment Diversity and Inclusion Press Contact: Tiffany Smith Anoa'i, 818-655-1587, tiffany.smith@cbs.com  Countries: United States  Industries: Entertainment & Leisure, Television  Languages: English  Primary Identifiers:  CBS-US  Related Identifiers: 08B3NQ-E, CBS-US",2,"88, 47",Diversity and Inclusion
CBS,"CBS CORPORATION INVESTIGATION INITIATED BY FORMER LOUISIANA ATTORNEY GENERAL  Kahn Swick & Foti, LLC Investigates the Officers and Directo...",25-May-18,PRN,"Kahn Swick & Foti, LLC",,"Beginning in November 2017, a series of news reports revealed claims of widespread and long-term acts of sexual harassment and lewd conduct by veteran CBS anchor Charlie Rose toward numerous female co- workers, dating as far back as 1976 to 2017.  Along with those revelations were reports that CBS executives had received complaints, or had otherwise known, of Rose's behavior over the many years and failed to respond or take adequate remedial measures.  | A lawsuit recently filed by three former CBS employees against Rose for sexual harassment and other misconduct also named as defendants the Company's subsidiaries, CBS News Communications Inc. and CBS News Inc., based on the role of CBS executives in the alleged acts of discrimination, retaliation, failing to investigate and remediate complaints of misconduct, and failing to warn the plaintiffs of Rose's history of sexual misconduct, among other things.",2,"73, 69",sexual harassment
CBS,"CBS CORPORATION INVESTIGATION INITIATED by Former Louisiana Attorney General Kahn Swick & Foti, LLC Investigates the Officers and Directors...",8-Jun-18,BW,"Kahn Swick & Foti, LLC",Lawsuit,"Beginning in November 2017, a series of news reports revealed claims of widespread and long-term acts of sexual harassment and lewd conduct by veteran CBS anchor Charlie Rose toward numerous female co- workers, dating as far back as 1976 to 2017. Along with those revelations were reports that CBS executives had received complaints, or had otherwise known, of Rose’s behavior over the many years and failed to respond or take adequate remedial measures. | A lawsuit recently filed by three former CBS employees against Rose for sexual harassment and other misconduct also named as defendants the Company’s subsidiaries, CBS News Communications Inc. and CBS News Inc., based on the role of CBS executives in the alleged acts of discrimination, retaliation, failing to investigate and remediate complaints of misconduct, and failing to warn the plaintiffs of Rose’s history of sexual misconduct, among other things.",2,"73, 69",sexual harassment
CBS,"CBS CORPORATION INVESTIGATION INITIATED by Former Louisiana Attorney General Kahn Swick & Foti, LLC Investigates the Officers and Directors...",11-May-18,BW,"Kahn Swick & Foti, LLC",Lawsuit,"Beginning in November 2017, a series of news reports revealed claims of widespread and long-term acts of sexual harassment and lewd conduct by veteran CBS anchor Charlie Rose toward numerous female co- workers, dating as far back as 1976 to 2017. Along with those revelations were reports that CBS executives had received complaints, or had otherwise known, of Rose’s behavior over the many years and failed to respond or take adequate remedial measures. | A lawsuit recently filed by three former CBS employees against Rose for sexual harassment and other misconduct also named as defendants the Company’s subsidiaries, CBS News Communications Inc. and CBS News Inc., based on the role of CBS executives in the alleged acts of discrimination, retaliation, failing to investigate and remediate complaints of misconduct, and failing to warn the plaintiffs of Rose’s history of sexual misconduct, among other things.",2,"73, 69",sexual harassment
CBS,"CBS CORPORATION INVESTIGATION UPDATE BY FORMER LOUISIANA ATTORNEY GENERAL  Kahn Swick & Foti, LLC Continues to Investigate the Officers an...",1-Mar-19,PRN,"Kahn Swick & Foti, LLC",,"Beginning in November 2017, news reports revealed claims of sexual harassment and lewd conduct by veteran CBS anchor Charlie Rose toward numerous female employees dating back decades up to 2017, which CBS executives knew of but failed to take adequate measures to prevent.  In July 2018, media reports exposed sexual harassment claims against CEO Leslie Moonves for conduct spanning the 1980s and mid-2000s including forcible touching or kissing and threats of career sabotage, all largely ignored by CBS. Subsequent reports further detailed a widespread culture of sexual harassment at CBS, ignored or even suppressed by executives, including three six-figure settlements with employees.",1,102,sexual harassment
CBS,"CBS CORPORATION INVESTIGATION UPDATE by Former Louisiana Attorney General Kahn Swick & Foti, LLC Continues to Investigate the Officers and ...",15-Feb-19,BW,"Kahn Swick & Foti, LLC",Lawsuit,"Beginning in November 2017, news reports revealed claims of sexual harassment and lewd conduct by veteran CBS anchor Charlie Rose toward numerous female employees dating back decades up to 2017, which CBS executives knew of but failed to take adequate measures to prevent. In July 2018, media reports exposed sexual harassment claims against CEO Leslie Moonves for conduct spanning the 1980s and mid- 2000s including forcible touching or kissing and threats of career sabotage, all largely ignored by CBS. Subsequent reports further detailed a widespread culture of sexual harassment at CBS, ignored or even suppressed by executives, including three six-figure settlements with employees.",1,103,sexual harassment
CBS,"CBS CORPORATION INVESTIGATION UPDATE by Former Louisiana Attorney General Kahn Swick & Foti, LLC Continues to Investigate the Officers and ...",15-Mar-19,BW,"Kahn Swick & Foti, LLC",Lawsuit,"Beginning in November 2017, news reports revealed claims of sexual harassment and lewd conduct by veteran CBS anchor Charlie Rose toward numerous female employees dating back decades up to 2017, which CBS executives knew of but failed to take adequate measures to prevent. In July 2018, media reports exposed sexual harassment claims against CEO Leslie Moonves for conduct spanning the 1980s and mid- 2000s including forcible touching or kissing and threats of career sabotage, all largely ignored by CBS. Subsequent reports further detailed a widespread culture of sexual harassment at CBS, ignored or even suppressed by executives, including three six-figure settlements with employees.",1,103,sexual harassment
CBS,"CBS CORPORATION INVESTIGATION UPDATE by Former Louisiana Attorney General Kahn Swick & Foti, LLC Investigates the Officers and Directors of...",31-Aug-18,BW,"Kahn Swick & Foti, LLC",Lawsuit,"Beginning in November 2017, a series of news reports revealed claims of widespread and long-term sexual harassment and lewd conduct by veteran CBS anchor Charlie Rose toward numerous female employees, dating as far back as 1976 up to 2017, and that CBS executives knew of the behavior yet failed to respond or take adequate remedial measures over the many years. | Then, in July 2018, media reports detailed workplace sexual harassment claims by multiple women against CEO Leslie Moonves for conduct spanning the 1980s and mid-2000s that included forcible physical touching and threats of career sabotage, which was ignored by the Company. | The Company’s actions, directed by its executives, have exposed it to a sexual harassment lawsuit resulting from Rose’s alleged misconduct as well as a recent securities class action lawsuit relating to the Moonves allegations for failing to disclose material information to investors that when made public caused a precipitous decline in the market value of the company’s securities, violating federal securities laws.",3,"60, 41, 62",sexual harassment
CBS,CBS Corporation trading lower Drudge Report says Washington Post is finalizing story on which execs knew about Charlie Rose's alleged sexua...,9-Mar-18,SA,,,"CBS Corporation trading lower; Drudge Report says Washington Post is finalizing story on which execs knew about Charlie Rose's alleged sexual misconduct and when  Friday, March 09, 2018 04:55:19 PM (GMT)",1,31,sexual misconduct
CBS,CBS directors looking at whether chairmanCEO Les Moonves needs to temporarily step down,WSJ - 30-Jul,18,,"Articles, Reports, Conjecture, Corporate Actions, Mergers and Acquisitions, Management Changes, Media Summaries, M&A Other Announcements, Published Reports  Related Stories:","In a front-page article, people familiar with the matter tell the WSJ that ""some"" directors discussed the matter over the weekend, and the board will likely form a special committee today to oversee an investigation into Moonves's alleged sexual harassment of women. The sources say that the board will probably kick off an investigation into CBS's entire workplace culture, not merely into Moonves's behavior. The sources tell the WSJ that CBS directors are split on whether Moonves should temporarily step down. A close observer of the Redstone media empire tells the WSJ that if Moonves doesn't keep his position, a merger with Viacom will probably become more likely. The article says that it's not clear if the allegations in the New Yorker article will alter the weighting of the CBS board's current split between a minority backing Shari Redstone and a larger number backing Moonves and management. People familiar with Redstone’s thinking tell the WSJ that she wants the investigation to be carried out, and she doesn't have any preconceived biases about it. | CBS issues statement in response to New Yorker article CBS' Les Moonves accused of sexual misconduct -- Hollywood Reporter",2,"173, 19","sexual misconduct, sexual harassment"
CBS,CBS Investor Alert Johnson Fistel Investigates CBS Corporation Recent Investors with Losses Encouraged to Contact Firm,28-Jul-18,PRN,"Johnson Fistel, LLP",,"On July 27, 2018, CBS stock plummeted during intraday trading following reports that The New Yorker  would be publishing an article that includes sexual-misconduct, intimidation and retaliation allegations against CBS Chief Executive Leslie Moonves.",1,34,sexual-misconduct
CBS,CBS' Les Moonves accused of sexual misconduct,#NAME?,Jul,,"Articles, Reports, Conjecture, Corporate Actions, Management Changes, Media Summaries, Published Reports","CBS' Les Moonves accused of sexual misconduct -- Hollywood Reporter   Friday, July 27, 2018 03:54:34 PM (GMT)",1,17,sexual misconduct
"CBS, CBS, 92556H20",CBS LOSS ALERT Rosen Law Firm Reminds CBS Corporation Investors of Important October 26 Deadline in Class Action,CBS - 13-Oct,18,,"Class Action, Law & Legal Issues","According to the lawsuit, defendants during the Class Period made materially false and/or misleading statements and/or failed to disclose that: (1) CBS executives, including the company’s Chairman and Chief Executive Officer, Leslie “Les” Moonves, had engaged in widespread workplace sexual harassment at CBS; (2) CBS’s enforcement of its own purported policies was inadequate to prevent the foregoing conduct; (3) the foregoing conduct, when revealed, would foreseeably subject CBS to heightened legal liability and impede the ability of key CBS personnel to execute the company’s business strategy; and (4) as a result, CBS’s public statements were materially false and misleading at all relevant times. When the true details entered the market, the lawsuit claims that investors suffered damages.",1,117,sexual harassment
"CBS, CBS, 92556H20",CBS LOSS NOTICE Rosen Law Firm Announces Securities Class Action Against CBS Corporation Important October 26 Deadline,CBS - 02-Oct,18,,"Class Action, Law & Legal Issues","According  to  the  lawsuit,  defendants  during  the  Class  Period  made  materially  false  and/or  misleading statements and/or failed to disclose that: (1) CBS executives, including the company’s Chairman and Chief Executive Officer, Leslie “Les” Moonves, had engaged in widespread workplace sexual harassment at CBS; (2) CBS’s enforcement of its own purported policies was inadequate to prevent the foregoing conduct; (3) the foregoing  conduct,  when  revealed,  would  foreseeably  subject  CBS  to  heightened  legal  liability  and  impede the  ability  of  key  CBS  personnel  to  execute  the  company’s  business  strategy;  and  (4)  as  a  result,  CBS’s public  statements  were  materially  false  and  misleading  at  all  relevant  times.  When  the  true  details  entered the market, the lawsuit claims that investors suffered damages.",1,117,sexual harassment
CBS,CBS LOSS NOTICE Rosen Law Firm Reminds CBS Corporation Investors of Important Deadline in Class Action,31-Aug-18,BW,"The Rosen Law Firm, P.A.",Lawsuit,"According to the lawsuit, defendants during the Class Period made materially false and/or misleading statements and/or failed to disclose that: (1) CBS executives, including the company’s Chairman and Chief Executive Officer, Leslie “Les” Moonves, had engaged in widespread workplace sexual harassment at CBS; (2) CBS’s enforcement of its own purported policies was inadequate to prevent the foregoing conduct; (3) the foregoing conduct, when revealed, would foreseeably subject CBS to heightened legal liability and impede the ability of key CBS personnel to execute the company’s business strategy; and (4) as a result, CBS’s public statements were materially false and misleading at all relevant times. When the true details entered the market, the lawsuit claims that investors suffered damages.",1,117,sexual harassment
CBS,CBS LOSS NOTICE Rosen Law Firm Reminds CBS Corporation Investors of Important October 26 Deadline in Class Action,CBS - 27-Sep,18,"Rosen Law Firm, P.A.",,"According to the lawsuit, defendants during the Class Period made materially false and/or misleading statements and/or failed to disclose that: (1) CBS executives, including the company's Chairman and Chief Executive Officer, Leslie ""Les"" Moonves, had engaged in widespread workplace sexual harassment at CBS; (2) CBS's enforcement of its own purported policies was inadequate to prevent the foregoing conduct; (3) the foregoing conduct, when revealed, would foreseeably subject CBS to heightened legal liability and impede the ability of key CBS personnel to execute the company's business strategy; and (4) as a result, CBS's public statements were materially false and misleading at all relevant times. When the true details entered the market, the lawsuit claims that investors suffered damages.",1,117,sexual harassment
CBS,CBS NOTICE ALERT Rosen Law Firm Announces Securities Class Action Against CBS Corporation Important Deadline,CBS - 13-Sep,18,"Rosen Law Firm, P.A.",,"According to the lawsuit, defendants during the Class Period made materially false and/or misleading statements and/or failed to disclose that: (1) CBS executives, including the company's Chairman and Chief Executive Officer, Leslie ""Les"" Moonves, had engaged in widespread workplace sexual harassment at CBS; (2) CBS's enforcement of its own purported policies was inadequate to prevent the foregoing conduct; (3) the foregoing conduct, when revealed, would foreseeably subject CBS to heightened legal liability and impede the ability of key CBS personnel to execute the company's business strategy; and (4) as a result, CBS's public statements were materially false and misleading at all relevant times. When the true details entered the market, the lawsuit claims that investors suffered damages.",1,117,sexual harassment
"CBS, CBS, 92556H20",CBS NOTICE Rosen Law Firm Reminds CBS Corporation Investors of Important October 26 Deadline in Class Action,CBS - 24-Oct,18,,"Class Action, Law & Legal Issues","According  to  the  lawsuit,  defendants  during  the  Class  Period  made  materially  false  and/or  misleading statements and/or failed to disclose that: (1) CBS executives, including the company’s Chairman and Chief Executive Officer, Leslie “Les” Moonves, had engaged in widespread workplace sexual harassment at CBS; (2) CBS’s enforcement of its own purported policies was inadequate to prevent the foregoing conduct; (3) the foregoing  conduct,  when  revealed,  would  foreseeably  subject  CBS  to  heightened  legal  liability  and  impede the  ability  of  key  CBS  personnel  to  execute  the  company’s  business  strategy;  and  (4)  as  a  result,  CBS’s public  statements  were  materially  false  and  misleading  at  all  relevant  times.  When  the  true  details  entered the market, the lawsuit claims that investors suffered damages.",1,117,sexual harassment
