identifier,headline,date,source,who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords
"BBY, BBY",Best Buy's Geek Squad Tackles STEM Challenge with Teen Tech Camps Launching Now,10-Jun-15,BW,"Best Buy Co., Inc.","Product/Service, Photo/Multimedia","all of the professional possibilities that come with it,” said Susan Bass Roberts, head of Community Relations/Diversity & Inclusion at Best Buy. “Providing this kind of hands-on training in the right way enhances their desire to apply this knowledge to their future education and career choices.”",1,46,Diversity & Inclusion
BIG,Big Lots Recognized By The Women's Forum Of New York For Advancing Gender Parity In The Boardroom,6-Nov-19,PRN,"Big Lots, Inc.","Corporate Social Responsibility, Human Interest Groups","COLUMBUS, Ohio, Nov. 6, 2019 /PRNewswire/ -- Big Lots, Inc. (NYSE: BIG) today announced it will be recognized by the Women's Forum of New York  for advancing gender parity in the boardroom. The 2019 Breakfast of Corporate Champions, hosted by the Women's Forum of New York , will take place on November 7, 2019 in New York City  and will honor companies actively promoting board diversity with female board representation of 30 percent or more. Big Lots' board composition of 44 percent women significantly exceeds the national average for female-held board seats of 23 percent. | Commenting on today's announcement, Bruce Thorn, President and CEO of Big Lots stated, ""We're proud to be honored by the Women's Forum of New York  once again this year. Big Lots is committed to diversity, inclusion, and advancing women's leadership through gender-balanced boards. Our board is currently comprised of eight independent directors, and four of them are exceptional female leaders. Having a board that reflects our society and our customers leads to better decision-making and stronger performance for our associates and shareholders."" | Janice Ellig, CEO of the Ellig Group and Chair and Founder of the Breakfast of Corporate Champions said, ""On behalf of the Women's Forum of New York , we salute Big Lots for actively enhancing its boardroom diversity. Big Lots is part of a growing number of forward-thinking companies which are raising the bar and accelerating the U.S. towards the goal of gender parity in the boardroom.""",3,"95, 82, 67",diversity
BLK,BlackRock Elects New Independent Directors,15-Mar-18,BW,"BlackRock, Inc.",Personnel,"Mr. Ford is the Chief Executive Officer of General Atlantic, a position he has held since 2007. He also serves as Chairman of General Atlantic's Executive Committee and is a member of the firm’s Investment and Portfolio Committees. Mr. Ford is actively involved with a number of educational and not-for-profit organizations. He is a member of the board of Rockefeller University, where he is Vice Chair, and serves on the Board of Directors of the National Committee on United States-China Relations, and is a member of The Council on Foreign Relations. He is also a member of the Steering Committee for the CEO Action for Diversity and Inclusion initiative. Mr. Ford has formerly served on the boards of First Republic Bank, NYSE Euronext, E*Trade, Priceline and NYMEX Holdings. | One third of BlackRock’s directors have been newly elected over the past five years. BlackRock considers diversity in gender, ethnicity, age, career experience and geographic location, as well as intellectual diversity in the design and orientation of its Board of Directors. BlackRock has five female Directors.",2,"128, 46","Diversity and Inclusion, diversity"
BLK,"BlackRock Reports Full Year 2017 Diluted EPS of $30.23, or $22.60 as adjusted",12-Jan-18,BW,"BlackRock, Inc.","Earnings, Conference Call, Webcast","“Throughout BlackRock’s 30-year history, we have been driven by a fiduciary commitment to our clients, a culture of innovation, a passion for performance and a workplace that embraces diversity and inclusion. We are fortunate to have dedicated employees who share our vision of creating better financial futures for clients. We enter 2018 well positioned to continue investing for future growth, developing our talent and delivering differentiated value for clients and shareholders alike.”",1,72,Diversity and Inclusion
BLK,"BlackRock, Inc.(BLK",US) Schedules Investor Day for 5-June-2018 800 AM ET,3,,,,0,0,
"BK, 06PY26",BNY Mellon and United Nations Foundation Reveal Investment Opportunities for Closing the Global Gender Gap in Return on Equality,19-Jan-17,PRN,BNY Mellon,"Economic News, Trends & Analysis, Corporate Social Responsibility, Not For Profit Organizations, Human Interest Groups","BNY Mellon and United Nations Foundation Reveal Investment Opportunities for Closing the Global Gender Gap in ""Return on Equality""  Thursday, January 19, 2017 03:30:00 PM (GMT) | The report, Return on Equality: Investment Opportunities to Help Close the Global Gender Gap , reveals new insights that underscore the urgency and opportunities for closing the global gender gap and proposes steps investors can take to advance progress towards the United Nations' Sustainable Development Goal 5: ""Achieve gender equality and empower all women and girls.""  | ""We not only have a moral imperative to bridge the global gender gap, but the potential market benefits and investment opportunities in doing so are pivotal,"" according to Michael Cole-Fontayn, Executive Vice President, and Chairman of Europe, Middle East and Africa (EMEA). ""Companies engaging in 'gender-lens' investing have typically supported women-led businesses and those promoting gender diversity. However, there is an increasing need to focus on the third (and less common) type of investing, in companies that advance gender equality through their products and services."" | DAVOS, Switzerland, Jan. 19, 2017 /PRNewswire/ -- There is significant opportunity for individual investors, asset managers and companies to move closer to achieving the goal of gender equality and make direct social, market and global economic impacts, according to a compelling report launched today by BNY Mellon and the UN Foundation. | Investors can now pursue these three gender-lens investment strategies through a variety of investment vehicles, including index funds and exchange traded funds (ETFs), venture capital and private equity opportunities, and innovative financing structures, such as private debt vehicles. However, investment vehicles related to products and services that advance gender equality are far and few in between. | ""Achieving global gender equality will require sustained leadership and investment by the public and private sectors and will contribute to the empowerment of women and girls, and have significant positive social, market and economic impact,"" said Jyoti Chopra, BNY Mellon Global Head of Diversity & Inclusion. ""Major barriers to women and girls pursuing economic opportunities are still pervasive and it is our priority to address these issues and improve lives through investing to add value and impact to the global community and economy."" | To move forward with advancing global gender equality, individual investors, asset managers, and companies can take the following initial steps: | 2.  Individual Investors – Shift investments toward companies that offer products and services that support gender equality, focusing on companies that have committed to quantifiable goals or measures. | 3.  Asset Managers – Create new funds and financial instruments for institutional and individual investors focused on companies offering products and services that support gender equality. | ""Individuals and companies worldwide reevaluating their current investment strategies to focus on gender- lens investing are taking that first step to contribute to the ambitious goal of achieving gender equality and empowerment for women and girls by 2030,"" said Heidi DuBois, BNY Mellon Global Head of Corporate Social Responsibility and Social Finance. ""Narrowing the gap has major positive ramifications for achieving other sustainable development goals, such as education and health."" | Cousens, Deputy Chief Executive Officer of the United Nations Foundation. ""From promoting diversity in their work forces to delivering products and services that empower women, the private sector has a critical role to play - and market gains to accrue - in advancing gender equality."" | The long-term key to success in achieving a 'Return on Equality' is putting in place the right metrics and an opportunity for third-party assessment. Independent third-party evaluation and certification allows a broader range of companies to participate in the process, reducing competitor concerns, improving comparison, establishing a set benchmark across companies and sectors, and increasing accountability for companies to perform against a standardized set of metrics. The right metrics will keep individuals and businesses on track as they contribute to the goal of achieving gender equality in developed and developing countries alike. | BNY Mellon is the corporate brand of The Bank of New York Mellon Corporation (NYSE: BK). As the Investments Company for the World, BNY Mellon holds a responsibility to clients, its people, and the world. Our vision is improving lives through investing— an aspiration that motivates us to maintain the highest standards of client focus, integrity, teamwork, and excellence. Our varied backgrounds, perspectives, and experiences spark fresh thinking, helping us to blaze new paths to progress and deliver profitable returns for our clients and our investors. Most of all, our diversity brings us the dimension we need to shape the future of finance. Together, we can contribute to the resiliency of global markets and solutions for some of the world's most pressing issues, building healthy economies and sustainable communities over time. | To view the original version on PR Newswire, visit: http://www.prnewswire.com/news-releases/bny-mellon- and-united-nations-foundation-reveal-investment-opportunities-for-closing-the-global-gender-gap-in-return-on- equality-300393535.html",14,"26, 56, 85, 51, 56, 83, 20, 28, 26, 70, 45, 92, 131, 12","diversity, gender equality, gender-gap, gender gap"
BK,"BNY Mellon Announces Partnership with CFA Institute to Develop Collaborative Research on Social Investing, Diversity and Inclusion",24-May-17,PRN,BNY Mellon,,"BNY Mellon Announces Partnership with CFA Institute to Develop Collaborative Research on Social Investing, Diversity and Inclusion  Wednesday, May 24, 2017 01:11:00 PM (GMT) | NEW YORK , May 24, 2017 /PRNewswire/ -- BNY Mellon, a global leader in investment management and investment services, and CFA Institute, the global association of investment professionals, today announced a partnership with the shared goal of promoting the highest standards of professional excellence across the investment management industry. The partnership will expand professional development opportunities for BNY Mellon employees and allow for the development of collaborative research on social investing, as well as diversity and inclusion. | For BNY Mellon, one benefit of the partnership is an increased focus on continuing professional education opportunities aligned with its business strategy. BNY Mellon already employs thousands of people participating in one or more of the programs administered by CFA Institute such as Chartered Financial Analyst (CFA), Certificate in Investment Performance Measurement (CIPM) and Investment Foundations, and this partnership reinforces its commitment to talent development. The parties will collaborate on important thought leadership development and research, particularly as it relates to advancing industry solutions around social investing, diversity and inclusion. | ""BNY Mellon has been an active partner in the development of our professional education programs, industry best practices and thought leadership, and we recognize our collective ability to drive change in the industry,"" said Paul Smith, President and CEO of CFA Institute. ""Thought leadership on critical topics such as diversity and social investing is an ideal complement to our Future of Finance initiative, and we look forward to a collaboration that will make a positive impact on the investment management profession."" | To view the original version on PR Newswire, visit: http://www.prnewswire.com/news-releases/bny-mellon- announces-partnership-with-cfa-institute-to-develop-collaborative-research-on-social-investing-diversity-and- inclusion-300463004.html",5,"24, 77, 90, 81, 12","Diversity and Inclusion, diversity"
BK,BNY Mellon Appoints Monique Herena as Chief Human Resources Officer,10-Apr-14,PRN,BNY Mellon,,"Peters joined Mellon Financial Corp. in 1982, and advanced through a variety of management positions in legal and corporate affairs, special banking services, retail risk management and compliance and human resources. When Mellon Financial and The Bank of New York  merged in 2007, Peters was instrumental in ensuring a smooth post-merger integration. As BNY Mellon's chief human resources officer, Peters developed and executed a human resources strategy that allowed the company to provide competitive benefits, prudently govern compensation practices, steadily enhance development opportunities for employees, establish diversity and inclusion as a global priority, and promote employee engagement and cultural change.",1,100,Diversity and Inclusion
"BK, 07ZCC7, 074KWY...",BNY Mellon Appoints Regional Executive for Central New York Frank Behlmer Takes on Expanded Leadership Role,24-Jan-12,PRN,BNY Mellon,,"In his expanded role, Behlmer, 54, will be responsible for the implementation of corporate initiatives within the region including operational excellence; risk management and controls; talent management and development; employee engagement; diversity and inclusion; government and community relations; and facilities planning. ",1,41,Diversity and Inclusion
"BK, BABB, 000CKZ",BNY Mellon Earns Perfect Marks in 2012 Corporate Equality Index,8-Dec-11,PRN,BNY Mellon,Human Interest Groups,"Global Diversity and Inclusion Programs Leveraging Talent Hallmarks of 'Best Places to Work' for LGBT Equality | ""BNY Mellon is honored to have again earned this perfect 'Best Place to Work' rating,"" said BNY Mellon Chairman, President and CEO Gerald Hassell. ""Our commitment to diversity and inclusion run much deeper than simply acknowledging differences – we also welcome and leverage those differences to effectively serve our clients, create competitive advantage and grow our businesses. We applaud the Human Rights Campaign for challenging businesses to ensure workplace equality and opportunity for LGBT employees."" | NEW YORK , Dec. 8, 2011 /PRNewswire/ -- BNY Mellon, the global leader in investment management and investment services, announced that it has earned a top rating of 100 percent as a Best Place to Work in the 2012 Corporate Equality Index (CEI). Administered by the Human Rights Campaign Foundation for the past decade, the comprehensive Index rates employers on their treatment of lesbian, gay, bisexual and transgender (LGBT) employees, clients and investors. Ratings are based on factors such as equal employment opportunity policies, diversity training, a supplier diversity program that includes certified LGBT suppliers, and equivalent benefits for employees with same- or different-sex spouses or domestic partners. | BNY Mellon is a global financial services company focused on helping clients manage and service their financial assets, operating in 36 countries and serving more than 100 markets. BNY Mellon is a leading provider of financial services for institutions, corporations and high-net-worth individuals, offering superior investment management and investment services through a worldwide client-focused team. It has $25.9 trillion in assets under custody and administration and  $1.2 trillion in assets under management, services $11.9 trillion in outstanding debt and processes global payments averaging $1.6 trillion per day. BNY Mellon is the corporate brand of The Bank of New York Mellon Corporation (NYSE: BK). Additional information is available on www.bnymellon.com/diversity or follow us on Twitter @BNYMellon.",4,"16, 75, 108, 115","Diversity and Inclusion, diversity, Equal Employment Opportunity"
"BK, 0CDSCN, 000CKZ",BNY Mellon Holding Record Number of International Women's Day Celebrations,8-Mar-13,PRN,BNY Mellon,"Corporate Social Responsibility, Human Interest Groups","Nearly 100 Employee and Client Initiatives to Be Held Around the World; Employees Design and Lead Month-long Diversity and Inclusion Program | Coordinated by hundreds of employee volunteer members from WIN, the company's affinity network for women, this year's IWD agenda surpasses the number of all previous BNY Mellon events for diversity and inclusion programming around March's month-long celebration of women's history. Highlights of this year's BNY Mellon global initiative will include: | New York  – Women's economic empowerment forum; India – Leadership panels and forums focused on gender diversity and inclusion; Hong Kong – International Women's Day networking events with clients; Pittsburgh – Educational sessions with the Human Rights Network, an organization dedicated to improving women's and children's lives while also combating human trafficking; and Shanghai – International Women's Day charity bazaar, benefitting the educational programs of the China Charity Federation.     | The 2013 global theme for International Women's Day is ""The Gender Agenda: Gaining Momentum."" International Women's Day has been observed since the early 1900s. Each year on March 8, thousands of events are held throughout the world to inspire women and celebrate their achievements, with the active support of global companies like BNY Mellon. In the U.S., the entire month of March is also designated as Women's History Month. Learn more about careers at BNY Mellon, as well as our commitment to diversity and inclusion at bnymellon.com/careers and bnymellon.com/diversity.",4,"21, 50, 69, 89",Diversity and Inclusion
BK,BNY Mellon Named Financial Services Diversity Corporation of the Year,4-Feb-14,PRN,BNY Mellon,Human Interest Groups,"NEW YORK , Feb. 4, 2014 /PRNewswire/ -- In recognition of its global commitment to and advancement of diversity and inclusion best practices, BNY Mellon has been named the 2014 Financial Services Diversity Corporation of the Year by the National Business Inclusion Consortium (NBIC). The award, accepted by BNY Mellon's Global Head of Diversity and Inclusion, Jyoti Chopra, was presented last night at a gala celebration held at the New York Stock Exchange.  | BNY Mellon's approach to global diversity and inclusion is driven through an integrated framework of strategic forces: workforce, workplace, marketplace and leadership. All 51,000 BNY Mellon employees around the world bring the company's diversity strategy to life through engagement, participation, leadership, training and advocacy of diversity and inclusion initiatives and programs. Exceeding $900 million over the past five years, the company's supplier development program has helped diverse suppliers build capacity to grow their businesses. | BNY Mellon is a global investments company dedicated to helping its clients manage and service their financial assets throughout the investment lifecycle. Whether providing financial services for institutions, corporations or individual investors, BNY Mellon delivers informed investment management and investment services in 35 countries and more than 100 markets. As of Dec. 31, 2013, BNY Mellon had $27.6 trillion in assets under custody and/or administration, and $1.6 trillion in assets under management. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments. BNY Mellon is the corporate brand of The Bank of New York Mellon Corporation (NYSE: BK). Learn more about global diversity and inclusion at www.bnymellon.com/diversity, or follow us on Twitter @BNYMellon. | BNY Mellon Named Financial Services Diversity Corporation of the Year   Tuesday, February 04, 2014 01:15:00 PM (GMT) | National Business Inclusion Consortium Award Recognizes the Company's Best Practices in the Advancement of Workplace, Marketplace and Suppler Diversity Programs | ""The National Gay & Lesbian Chamber of Commerce (NGLCC) spearheaded the formation of the NBIC to elevate diversity across all segments, including race, gender, sexual orientation, gender identity and disability,"" said Justin Nelson, NGLCC Co-Founder and President and NBIC Awards Co-Founder. ""We are so proud to highlight leaders and companies such as BNY Mellon who recognize the valuable contribution diverse communities make to the marketplace and the workplace.""",6,"73, 74, 126, 17, 20, 68","Diversity and Inclusion, diversity"
"0B2C22, BK",BNY Mellon Names Jyoti Chopra Global Head of Diversity and Inclusion,21-Aug-12,PRN,BNY Mellon,,"BNY Mellon Names Jyoti Chopra Global Head of Diversity and Inclusion   Tuesday, August 21, 2012 01:00:00 PM (GMT) | Company's Global Workforce Strategy Driven by Diversity and Inclusion | NEW YORK , Aug. 21, 2012 /PRNewswire/ -- BNY Mellon, the global leader in investment management and investment services, has hired Jyoti Chopra as global head of diversity and inclusion. Based in New York and reporting to Sheena Wilson, the global head of talent strategy, Chopra will lead the company's comprehensive award-winning diversity and inclusion program, promoting a culture of inclusion that creates pathways for the continued recruitment, development and advancement of a diverse workforce. | ""To power the investment success of our clients around the world, BNY Mellon must continue to leverage the talent and expertise of an extraordinary global workforce,"" Wilson said. ""Jyoti is a proven consensus builder who drives results through education and communication, demonstrating a deep, holistic understanding of the business case for diversity and inclusion in workforce development and planning."" | Chopra will oversee BNY Mellon's diversity strategy and execution, and serve on the company's Global Diversity and Inclusion Council, a group led by BNY Mellon Chairman, President and CEO Gerald Hassell and comprised of executives charged with advancing diversity and inclusion efforts and building employee engagement across the company. | To learn more about BNY Mellon's diversity and inclusion program or to search for career opportunities, visit bnymellon.com/diversity or bnymellon.com/careers. | Chopra brings over 25 years of diversity leadership and business experience to BNY Mellon, most recently with Deloitte Touche Tohmatsu Limited. As the Global Leader for communications and public relations for Deloitte, Chopra led the successful campaign rollout of a multi-year global business strategy, championed global diversity initiatives, and spearheaded Deloitte's external market leadership positioning for the organization's 195,000 professionals located in more than 150 countries.",7,"18, 9, 75, 59, 49, 20, 66","Diversity and Inclusion, diversity"
BK,BNY Mellon Steps Up Commitment to Becoming a Driving Force in Singapore's Digital and Fintech Ecosystem,31-Oct-19,PRNA,BNY Mellon,,"Roman Regelman will participate on a panel discussion on digital transformation on 11 November. Hans Brown will join the panel ""CEO Perspectives on Financial Services Innovation"" on 12 November. Innovation Lab Crawl: As part of the festival, BNY Mellon will host a tour of its Singapore Innovation Center on 14 and 15 November from 10 a.m. –  12 p.m. Visitors will participate in panel discussions on ""The Power of Diversity & Inclusion in Innovation."" BNY Mellon will also showcase innovation stories and offer the opportunity to network with user Experience/User Interface (UX/UI) and AI/Machine Learning experts and to experience interactive augmented reality content from BNY Mellon's art collection.",1,108,Diversity & Inclusion
BK,BNY Mellon Wealth Management CFO Named One of 25 Influential Black Women in Business for 2017,13-Apr-17,PRN,BNY Mellon,Human Interest Groups,"LaRoche-Morris earned a bachelor's degree in foreign affairs from the  University of Virginia, an MBA with double concentration in finance and marketing from Columbia Business School.  She is a leader in BNY Mellon's highly developed Diversity and Inclusion strategy and serves on the board of Teaching Firms of America—Professional Preparatory Charter School. | ""Renee is a great leader and has a tireless commitment to supporting diversity, as well as serving her community, her team and her peers,"" added Scott, who is her manager. ""We are delighted to see her recognized this way.""",2,"52, 39","Diversity and Inclusion, diversity"
BK,Celebrating a Uniquely Talented and Inspirational Workforce,30-Mar-17,PRN,BNY Mellon,,"Lead: Invested in blazing new paths to prosperity  – BNY Mellon information technologists are digitalizing the Wealth Management business, enabling BNY Mellon wealth advisors to deliver a distinctive and differentiated client experience. Innovate: Invested in the digital transformation of our business  – At its two newest Innovation Centers in Singapore and Pittsburgh, BNY Mellon teams are bringing FinTechs and clients together to collaborate on breakthrough solutions. Impact: Invested in making a sustainable difference  – Diversity and Inclusion at BNY Mellon takes a progressive, market-leading approach. ""Diversity and Inclusion 2.0"" (D&I 2.0) aligns D&I objectives with strategic business priorities and client service goals, and places greater emphasis on inclusion that empowers our people to show up, fully, at work, and achieve their full potential. Collaborate: Invested in working together  – Clients want empowering solutions that open paths to greater growth and profitability. With NEXENSM, BNY Mellon is collaborating with clients like world- class asset managers to develop new solutions that improve the investment process by putting the power of technology and data at their fingertips. Inspire: Invested in a bright and secure future  – BNY Mellon is forging new institutional asset classes and developing innovative solutions that make it easier for investors around the world to access and invest in assets previously unavailable to them. | With the war for talent increasingly waged globally and change in the global financial markets moving at an unprecedented pace, the report showcases how investing in people is paying off for the Investments Company for the World. Leveraging a rich diversity of backgrounds, perspectives, skills and experiences, BNY Mellon's high-performing global team is driving innovation and digital transformation at a 233-year-old investments company.",2,"214, 63","Diversity and Inclusion, diversity"
"082MFC, BK, CM...",CIBC Mellon announces plans to celebrate International Women's Week,5-Mar-12,CNW,,,"A screening of an address by Deborah Gillis, senior vice president, membership & global operations at Catalyst, on the status of women in Canadian business. Founded in 1962, Catalyst is the leading non-profit membership organization expanding opportunities for women and business. An educational seminar on the characteristics of effective leaders. A luncheon featuring Colleen Sidford, Vice President and Chief Investment Officer, Ontario Power Generation, who will speak on ""Driving Success through Diversity and Inclusion as well as Connecting Girls, Inspiring Futures"" A week-long fundraiser benefiting Newcomer Women's Services Toronto, a non-profit agency offering language skills, training, employment programs and settlement services to women who are new to Canada. | ""CIBC Mellon's Women's Initiatives Network was founded to promote diversity and inclusiveness in the workplace, foster employee development and help employees achieve the company's business objectives."" said Helen Polatajko, senior vice president, chief information officer and chair of CIBC Mellon WIN. ""We continue to dedicate ourselves to planning valuable events that are inclusive for the men and women of CIBC Mellon. We are excited about joining women around the world in marking International Women's Week.""",2,"108, 75","Diversity and Inclusion, diversity"
"05MNVC, BRK.B","Corporate Social Responsibility Related News Releases and Story Ideas for Reporters, Bloggers and Media Outlets",6-Sep-18,BW,Food Lion,"Advisory, Corporate Social Responsibility, Photo/Multimedia","BURBANK, Calif. -- Warner Bros. Pictures’ “Just Mercy,” Starring and Executive Produced by Michael B. Jordan, First Film under WarnerMedia’s Newly Unveiled Diversity and Inclusion Policy Source: WarnerMedia",1,28,Diversity and Inclusion
"05MNVC, BRK.B","Corporate Social Responsibility Related News Releases and Story Ideas for Reporters, Bloggers and Media Outlets",15-Feb-18,BW,"Praxair, Inc.","Advisory, Corporate Social Responsibility, Photo/Multimedia",,0,0,
"05MNVC, BRK.B","Corporate Social Responsibility Related News Releases and Story Ideas for Reporters, Bloggers and Media Outlets",24-May-18,BW,Procter &,"Advisory, Corporate Social Responsibility, Photo/Multimedia","TEMPE, Ariz. -- Versum Materials Joins More Than 400 CEOs in Commitment to Advance Diversity and Inclusion in the Workplace Source: Versum Materials, Inc. | COLUMBUS, Ind. -- Cummins Named A Top Company for Diversity for 12th Straight Year Source: Cummins Inc.",2,"24, 17","Diversity and Inclusion, diversity"
"05MNVC, BRK.B","Corporate Social Responsibility Related News Releases and Story Ideas for Reporters, Bloggers and Media Outlets",26-Jul-18,BW,"Yum! Brands,","Advisory, Corporate Social Responsibility, Photo/Multimedia","STAMFORD, Conn. -- Synchrony Deepens Investment in Diversity and Inclusion Source: Synchrony",1,12,Diversity and Inclusion
