who wrote the piece,subject,relevant_text,paragraphs,words,keywords,path
"WellPoint, Inc.",Award,"In fact, almost half of the WellPoint’s senior managers are women, and one third of its corporate executives are women. The company’s initiatives to promote gender equality in the workplace include a robust succession planning program and an Executive Excellence accelerated executive leadership development program, of which approximately one third of participants are women. In addition, the Women of WellPoint (WOW) associate resource group focuses on identifying and removing barriers for the advancement of women within WellPoint. WOW has grown in membership dramatically in the past year, doubling in size to almost 600 women. | Linda Jimenez, Chief Diversity Officer & VP ― Diversity and Inclusion for WellPoint, affirms the company’s commitment helping women achieve success. “Through the efforts of programs such as WOW, WellPoint helps women succeed ― and thrive ― in today's corporate culture.”",2,"94, 41","Chief Diversity Officer, gender equality","07KL5Z, 064B8V, ANTM... - WellPoint Named Top 50 Company for Executive Women by National Association for Female Executives - 09-Feb-12 - BW.pdf"
BMO Financial Group,,"Ms. Mitchem has an impressive history of leading global teams across all major asset classes through collaborative partnerships with retail and institutional investors and clients.  She joins BMO from Wells Fargo, where she was CEO and Head of Wells Fargo Asset Management.  In that role, she led 28 independent investment teams with approximately US$500 billion in assets under management. Ms. Mitchem also brings experience from State Street Corporation, BlackRock, and Goldman Sachs.  Throughout her career, she has been an advocate for diversity and inclusion.",1,84,Diversity and Inclusion,"0CNPNZ, BMO, 05LZ1J... - BMO Announces Appointment of Kristi Mitchem as CEO, BMO Global Asset Management - 23-Jan-19 - PRN.pdf"
WarnerMedia,"Photo/Multimedia, Product/Service, Event","Directed and produced by Kirby Dick and Amy Ziering (The Hunting Ground, The Invisible War ), and first reported by the New York Times , On The Record  presents the powerful haunting story of music executive Drew Dixon (collaborator on hit records by Method Man and Mary J. Blige, Estelle and Kanye West, and Whitney Houston) as she grapples with her decision to become one of the first women of color, in the wake of #MeToo, to come forward and publicly accuse hip-hop mogul Russell Simmons of sexual assault. | The documentary, which premiered at the 2020 Sundance Film Festival to rave reviews, chronicles not only Dixon’s story but that of several other accusers – Sil Lai Abrams, Sheri Sher– delving deeply into the ways women of colors’ voices are all too often silenced and ignored when they allege sexual assault; as well as",2,"89, 54",sexual assault,"0JMVQS, T, 05M27X - HBO Max to Launch May 27th - 21-Apr-20 - BW.pdf"
www.bseindia.com and www.nseindia.com,," Inter-State Migrant Workmen (Regulation of Employment and Conditions of Services) Act,1979  The Sexual Harassment of Women at Work Place (Prevention, Prohibition & Redressal) Act, 2013  Persons with Disabilities  (Equal Opportunities, Protection of Rights and Full Participation)  Act, 1996 | The  Company  is  committed  to  provide  career  opportunities  for  its  employees  and  enable  their  growth  and  development.  Further,  there  is  a  focus  on  hiring  science  and  pharmacy  graduates  to  strengthen the scientific orientation in the workforce.  There  continues  to  be  a  focus  on  building  gender  diversity  in  the  workforce.  Training  programs  to  strengthen scientific and technical knowledge of the  employees  were  extensively  implemented  across  the business.  | We  continue  to  develop  simple  and  more  efficient  processes to encourage accountability and improve  decision  making  and  communication.  As  a  result,  the  number  of  employees  was  reduced  in  the  last  year.  Impacted  employees  were  treated  in  line  with  AstraZeneca  Values  and  supported  through  a  comprehensive  package  including  out-placement  support  and  financial  services,  counselling  assistance.  The  Company  continued  to  provide  career  development  and  learning  opportunities  for  its  employees.  During  the  year,  the  India  Development  Week  was  conducted  to  enable  employees to understand how to build careers and  gain experiences across functions and businesses.  Training  programs  to  strengthen  scientific  and  technical  knowledge  of  the  employees  were  extensively  implemented  across  the  businesses.  There  continues  to  be  a  focus  on  building  gender  diversity  in  the  workforce.  To  build  a  supportive  eco-system  for  women  employees,  new  women  safety initiatives were rolled out in the last year. | c. Devising a policy on Board diversity; | of employment practice. These include respecting  diversity  and,  as  a  minimum,  complying  with  national legal requirements regarding wages and  working hours. We also support the International  Labour Organisation’s standards regarding child  labour and minimum age.",5,"38, 66, 141, 7, 35","diversity, sexual harassment","506820, AZN - ASTRAZENECA PHARMA INDIA LTD  Annual Report 2016-17 - 14-Aug-17 - NEWS_CR.pdf"
,"Media Summaries, Sunday NYT Summary","Tech firms don't do enough to prevent proliferation of child sexual abuse imagery | Tech companies ban child sexual abuse imagery from their platforms, but search engines, social networks, and cloud storage are rife with gaps for criminals to result. For victims, the trauma of constantly recirculating photos and videos can be devastating. Companies mentioned: GOOGL, DBX, MSFT, FB, AMZN, AAPL, SNAP",2,"13, 48",sexual abuse,"AAL, AAPL, AMZN... - New York Times Sunday Edition Summary - 10-Nov-19 - SA.pdf"
Apple Inc.,"Product/Service, Photo/Multimedia","“Apple has been a vital part of the Austin community for a quarter century, and we are thrilled that they are deepening their investment in our people and the city we love,” said Austin Mayor Steve Adler. “Apple and Austin share a creative spark and a commitment to getting big things done. We share their commitment to diversity and inclusion. We’re excited they are bringing more middle-skilled jobs to the area. And we’re particularly gratified by their commitment to providing a great place to work for a large and growing number of America's veterans.”",1,94,Diversity and Inclusion,AAPL - Apple to Build New Campus in Austin and Add Jobs Across the US - 13-Dec-18 - BW.pdf
,,,0,0,,"AAPL - Apple, Inc.(AAPL-US) Schedules Q3 2020 Earnings Call for 30-July-2020 500 PM ET - 30-Jun-20 - FCSTEV.pdf"
,,,0,0,,"AAPL - Apple, Inc.(AAPL-US) Schedules Q4 2019 Earnings Call for 30-October-2019 500 PM ET - 01-Oct-19 - FCSTEV.pdf"
Apple Inc.,"Conference, Product/Service, Trade Show, Photo/Multimedia","Today, Apple also introduced new summer band colors, giving customers more options than ever to express their personal style. This season’s offering includes vibrant Sports Bands, a bright yellow Classic Buckle and Nike Sport Band options that color-match with the Nike Air VaporMax Flyknit Day to Night Collection. As a celebration of diversity and inclusion, Apple is also offering a Pride Edition Woven Nylon in rainbow stripe.",1,67,Diversity and Inclusion,AAPL - watchOS 4 Brings More Intelligence & Fitness Features to Apple Watch - 05-Jun-17 - BW.pdf
,"Media Summaries, Economist Summary","On 26-Jan WSJ published an investigation detailing several allegations that amount to a decades-long spree of sexual misconduct by Wynn Resorts (WYNN) CEO Steve Wynn. The company's board has appointed a special committee to investigate the reports, the accuracy of which Wynn denies. Wynn's control over Wynn Resorts is near-absolute, and the outcome of the inquiry may significantly impact the business.",1,61,sexual misconduct,"AAPL, AMZN, BRK.B... - StreetAccount Summary The Economist print edition - 01-Feb-18 - SA.pdf"
,"Articles, Reports, Conjecture, Media Summaries, Published Reports","The NYT reports that Apple had originally intended to push the movie for awards, but with allegations of sexual abuse raised by a daughter of one of the film's protagonists, Apple has canceled the project's cinema release and hasn't clarified whether it will be shown on Apple TV Plus. In an interview, the woman who raised the allegations tells the NYT that Apple is doing the right thing, but a media strategist tells the NYT that content distributors can't allow the concerns of a small group of people to alter their business plans, because doing so could have ""a chilling effect on those wishing to produce content for"" the company. In an interview, the executives who run Apple's streaming service tell the NYT that the company plans to release no more than 12 movies annually, each getting specialized promotion, in contrast with what they characterize as the ""volume business"" employed by Netflix. People close to the project tell the NYT that the filmmakers met the man accused of sexual abuse -- who was originally to help promote the film -- only once before starting to film. The article notes that the accuser also claims that the film gives the wrong wife of one of the main characters credit for helping him make the business deals the film involves.",1,218,sexual abuse,"AAPL, NFLX - Why Apple pulled The Banker from theaters - NYT (7-Dec) - 08-Dec-19 - SA.pdf"
,,"Responding to a changing world  We are a company driven by communities, fueled by innovation and centered on consumers. Several key  trends, both ongoing and emerging, are affecting our consumers and their behavior. An aging population,  social isolation and a movement towards gender equality are giving rise to major behavioral trends such as  health and wellness and a greater need for digitization and connection.    We  need  to  embrace  every  aspect  of  our  evolving  world.  We  must  answer  to  new  consumers  and  stakeholders by leveraging the capabilities we have built and accelerating our plans while acknowledging  our gaps and exploring growth opportunities.    This means our company must evolve. After all, we are owners, building a company to last. Dreaming big  is in our DNA. We see challenges as opportunities, and we are never completely satisfied with our results.     Reimagining what our company can become  While we have made significant strides in our transformation, we need to move faster. In 2020 and beyond,  we  will  move  with  greater  speed  and  agility  to  develop  new  capabilities  and  ways  of  thinking.  We  are  positioning our company for greater success by scaling up our growth platforms:    ",1,191,gender equality,ABI - Anheuser-Busch InBev Reports Fourth Quarter 2019 Results - 27-Feb-20 - NEWS_CR.pdf
Archer Daniels Midland Company,,"To support this commitment ADM is continuing to drive internal efforts focused on hiring processes, wage gap elimination, internal network development and widespread diversity and inclusion engagement at all levels.",1,30,Diversity and Inclusion,ADM - ADM Commits to Achieving Gender Parity by 2030 - 31-Jan-19 - BW.pdf
Archer Daniels Midland Company,,"Testifying before the Equal Employment Opportunity Commission at a panel discussion on the future of work and the U.S. workforce, D’Ambrose said that companies like ADM were already having trouble filling key positions.",1,33,Equal Employment Opportunity,ADM - ADM HR Chief Says EEOC Can Help Address National Shortage of Skilled Labor - 05-Apr-17 - BW.pdf
Archer Daniels Midland Company,"Contract/Agreement, Product/Service","ADM Joins New Business Diversity and Inclusion Collaboration  Tuesday, June 13, 2017 03:00:00 PM (GMT) | Archer Daniels Midland Company (NYSE: ADM) announced today it is part of a group of more than 150 companies signing onto the CEO Action for Diversity & Inclusion, a new CEO-led collaboration pledging to take action to cultivate workplaces that are both diverse and inclusive. The initiative launched this week with companies committing to exchanging best-known practices and supporting ongoing and new diversity and inclusion actions within their respective companies. | “A key success factor for businesses today is an inclusive culture and a diverse workforce that can drive innovative thinking among people from a variety of backgrounds and experiences,” said ADM Chairman and CEO Juan Luciano. “At ADM, we take very seriously our commitment to these ideals both within our company and the broader agricultural industry. Working with other organizations in the newly-formed CEO Action for Diversity & Inclusion group will enable us to collectively advance diversity and inclusion in the workplace by sharing best practices and working toward common goals.” | As a member of CEO Action for Diversity & Inclusion, ADM will share its learnings from creating a workplace culture that values open mindedness and multiple perspectives from people of different backgrounds and experiences. In addition, the company’s annual employee diversity and inclusion training, and numerous support programs, are examples to build upon within the wider business community. | The CEO Action for Diversity & Inclusion™ is the largest CEO-driven business commitment to advance diversity and inclusion within the workplace. Bringing together more than 150 CEOs of America’s leading organizations, the commitment outlines actions that participating companies pledge to cultivate a workplace where diverse perspectives and experiences are welcomed and respected, employees feel comfortable and encouraged to discuss diversity and inclusion, and where best known—and unsuccessful—actions can be shared across organizations. Learn more at CEOAction.com. | CEO Action for Diversity & Inclusion brings together more than 150 CEOs from world’s leading companies to pledge action | Building an inclusive workplace at ADM also extends to the broader agriculture sector. ADM founded and currently leads the Agriculture Diversity & Inclusion Consortium – a cross-functional council representing industry, academia, NGOs and legislative bodies – that is working to grow the pipeline of diverse talent within the industry. With the world’s population expected to exceed the available food in the next century – and the number of jobs in agriculture outpacing available workers to fulfill these roles – the consortium is identifying ways to build an inclusive workforce with the skills, capabilities and competitiveness to make American agriculture a leader for generations to come. | About the CEO Action for Diversity & Inclusion | Ranked number one in Chicago United’s 2016 Diversity Report Named Best Diversity Company by Diversity/Careers Magazine Named Top Supporter of Historically Black Colleges and Universities Received Circle of Excellence Award from the Chicago Minority Enterprise Development Received “Top Corporate Investor of the Year” award from Jobs for America’s Graduates (JAG), an organization that serves high-risk youth by providing work-based learning experiences",9,"15, 70, 91, 58, 76, 19, 105, 8, 61","diversity, Diversity and Inclusion, Diversity & Inclusion",ADM - ADM Joins New Business Diversity and Inclusion Collaboration - 13-Jun-17 - BW.pdf
Archer Daniels Midland Company,Survey,"“As one of the highest-scoring companies in the Index, ADM clearly demonstrates the value the company and its leaders place on diversity,” said Eileen Scully, founder of the Rising Tides. “It’s refreshing to see that companies like ADM understand that diversity and inclusion can indeed be an important factor in driving business success.” | To learn more about Diversity and Inclusion at ADM, visit www.adm.com/careers/diversity-inclusion. | ADM Named Leader in Board and Executive Leadership Diversity  Thursday, November 01, 2018 04:00:00 PM (GMT) | Archer Daniels Midland Company (NYSE: ADM) has been recognized for its diversity at the board and executive levels by The Rising Tides, a consulting firm focused on improving the workplace for women and minorities. | “An inclusive culture starts at the top down, and we are very proud that our strong commitment to diversity is reflected in the composition of our board and executive team,” said ADM Chairman and CEO Juan Luciano. “Each leader brings a unique point of view to the table, and those varied perspectives are what drive the innovative thinking and solutions that make us a leader in our industry and a great place to work.”",5,"53, 11, 16, 34, 74","Diversity and Inclusion, diversity",ADM - ADM Named Leader in Board and Executive Leadership Diversity - 01-Nov-18 - BW.pdf
Archer Daniels Midland Company,"Award, Survey","“ADM is proud to be recognized as one of America’s top employers and a great place to build a career,” said ADM Chairman and CEO Juan Luciano. “We are committed to developing talent, encouraging diversity and inclusion throughout our organization, and offering employees the resources and opportunities they need to grow and flourish in their chosen career.”",1,57,Diversity and Inclusion,ADM - ADM Named to Forbes' Best Employer List - 11-May-17 - BW.pdf
Archer Daniels Midland Company,Award,"“Receiving this recognition from Forbes for the second year in a row is an honor, and we at ADM are proud to be viewed as one of America’s top employers,” said Michael D’Ambrose, senior vice president and chief human resources officer at ADM. “This award demonstrates ADM’s commitment to our employees, and our efforts as a company to develop talent, foster diversity and inclusion in the workplace, and provide the resources employees need to keep growing.”",1,76,Diversity and Inclusion,ADM - ADM Named to Forbes' Best Employer List for Second Consecutive Year - 01-May-18 - BW.pdf
Archer Daniels Midland Company,Award,"Profiles in Diversity Journal  is a quarterly publication dedicated to promoting and advancing diversity and inclusion in the corporate, government, nonprofit, STEM and higher education sectors. The award honored 27 corporations, organizations and institutions that have developed innovative solutions in the area of workforce diversity, inclusion and human equity. Together We Grow was one of ten initiatives recognized with a finalist award this year. | ADM Recognized for Efforts to Promote Workplace Diversity in Ag  Tuesday, December 18, 2018 04:00:00 PM (GMT) | Archer Daniels Midland Company (NYSE: ADM) today announced that Together We Grow—a consortium ADM began in 2016 to focus on educating, recruiting and retaining a more diverse workforce in the agriculture sector—has been recognized with Profiles in Diversity Journal’s  2018 Innovations in Diversity Award.",3,"64, 17, 44","Diversity and Inclusion, diversity",ADM - ADM Recognized for Efforts to Promote Workplace Diversity in Ag - 18-Dec-18 - BW.pdf
,,,0,0,,ADM - Archer-Daniels-Midland Co.(ADM-US) Schedules Q4 2018 Earnings Call for 5-February-2019 900 AM ET - 15-Jan-19 - FCSTEV.pdf
,,,0,0,,ADM - Archer-Daniels-Midland Co.(ADM-US) Schedules Stifel Cross Sector Insights Virtual Conference for 10-June-2020 920 AM ET - 03-Jun-20 - FCSTEV.pdf
Amerigroup Foundation,,"For more information, see Amerigroup’s annual online Corporate Responsibility Report, which outlines the company’s commitment to making a difference in people’s lives through the work of its associates, the philanthropic efforts of the Amerigroup Foundation, its diversity and inclusion initiatives, and its environmentally responsible business practices.",1,46,Diversity and Inclusion,"AGP, 06X5BS, ANTX - Amerigroup Tackles Some of Tennessee's Most Complex Health Needs in 2016 to Create a Healthier Generation of Tennesseans - 22-Feb-17 - BW.pdf"
