who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords,path
The Kroger Co.,Human Interest Groups,"Diversity and inclusion are key parts of Kroger's core values. As the company continues to expand, it is committed to ensuring that the diversity of the U.S. population is reflected in its business operations and associate talent. Kroger has a Hispanic associate resource group and is a member of the Billion Dollar Roundtable and the U.S. Hispanic Chamber of Commerce  Million Dollar Club. Earlier this year, Kroger was named one of the top eight U.S. corporations for inclusion by OMINKAL (formerly Diversity Business). | ""Each day, Kroger brings bold and exciting flavors and tastes from across the globe to the homes of more than 9 million customers,"" said Angel Colón, Kroger's senior director of diversity. ""Hispanic Heritage Month gives us the opportunity to celebrate these exciting flavors, and equally important, spotlight Kroger's commitment to diversity within our supply chain and workforce."" | De La Rosa  stated, ""Working for a company that embraces diversity makes me proud to be a Kroger associate of 37 years."" | At The Kroger Co., we are dedicated to our purpose: to  Feed the Human SpiritTM. We are 450,000 associates who serve nearly nine million customers daily in 2,793 retail food stores under a variety of local banner names in 35 states and the District of Columbia. Our Family of Companies operates an expanding ClickList offering – a personalized order online service – in addition to 2,258 pharmacies, 783 convenience stores, 307 fine jewelry stores, 222 retail health clinics, 1,472 supermarket fuel centers and 38 food production plants in the United States. Our Company has been recognized as one of America's most generous companies for our support of more than 100 Feeding America food bank partners, breast cancer research and awareness, the military and their families, and more than 145,000 community organizations including schools. As a leader in supplier diversity, we are a proud member of the Billion Dollar Roundtable.",4,"83, 57, 22, 149","diversity, Diversity and Inclusion","KR - Kroger Makes Donation to Puerto Rico for Hurricane Relief and Celebrates Hispanic Heritage Month with Cultural Education, Diverse Suppliers,... - 27-Sep-17 - PRN.pdf"
The Kroger Co.,Human Interest Groups,"""Across the Kroger family of companies, we are committed to creating business opportunities for women- and-minority-owned businesses,"" said Reuben Shaffer, Kroger's chief diversity officer. ""We are especially honored by this recognition because it is directly selected by diversity business owners in the U.S."" | CINCINNATI, Feb. 16, 2017 /PRNewswire/ -- The Kroger Co. (NYSE: KR) is honored to be named one of the top U.S. corporations for inclusion by Omnikal (formerly Diversity Business). | Every day, the Kroger Family of Companies makes a difference in the lives of eight and a half million customers and 443,000 associates who shop or serve in 2,796 retail food stores under a variety of local banner names in 35 states and the District of Columbia. Kroger and its subsidiaries operate an expanding ClickList offering – a personalized, order online, pick up at the store service – in addition to 2,253 pharmacies, 787 convenience stores, 324 fine jewelry stores, 1,439 supermarket fuel centers and 38 food production plants in the United States. Kroger is recognized as one of America's most generous companies for its support of more than 100 Feeding America food bank partners, breast cancer research and awareness, the military and their families, and more than 145,000 community organizations including schools. A leader in supplier diversity, Kroger is a proud member of the Billion Dollar Roundtable.",3,"43, 29, 148","diversity, Chief Diversity Officer",KR - Kroger Named a Top 10 American Company for Inclusion - 16-Feb-17 - PRN.pdf
The Kroger Co.,Human Interest Groups,"Kroger's LGBTQ Equality, Diversity and Inclusion Highlights:",1,7,Diversity and Inclusion,KR - Kroger Named One of the Best Places to Work for LGBTQ Equality - 28-Mar-19 - PRN.pdf
The Kroger Co.,Human Interest Groups,"Kroger's LGBTQ Equality, Diversity and Inclusion Highlights: | Kroger offers an associate resource group, providing an uplifting community for LGBTQ employees and allies Kroger provides same-sex partner benefits and transgender-inclusive health care Kroger partners with the National Gay and Lesbian Chamber of Commerce to create and enhance partnerships with LGBTQ suppliers Kroger achieved Billion Dollar Roundtable status for reaching more than  $1 billion in spend with certified minority- and women-owned suppliers Kroger ranked 13th on Omnikal's 2019 Omni50 list, which recognizes America's top 50 corporate and government buyers of products and services from inclusive and diverse suppliers Kroger ranked fourth on  The Wall Street Journal's  list of the top 20 most diverse Fortune 500 companies Kroger was named Company of the Year for Corporate Equality by HRC's Greater Cincinnati Chapter, recognizing the company's commitment to diversity and inclusion in the region that features its corporate headquarters and more than 21,000 Kroger associates | ""Kroger is extremely proud that HRC has once again recognized our unwavering commitment to promoting and celebrating diversity, inclusion and belonging across our company, our industry and our communities,"" said Tim Massa, Kroger's senior vice president and chief people officer. ""This recognition reinforces the people-first, inclusive culture that we've built at Kroger. It's also a testament to the LGBTQ associates and allies who have shown us what we do well and where we can improve.""",3,"7, 144, 75","diversity, Diversity and Inclusion",KR - Kroger Named One of the Best Places to Work for LGBTQ Equality for the Second Consecutive Year - 21-Jan-20 - PRN.pdf
The Kroger Co.,Human Interest Groups,"""Diversity is at the core of our people-first culture and an integral part of our business strategy at Kroger,"" said Angel Colón, Kroger's senior director of diversity and inclusion. ""Women make up more than half of our workforce and 31% of our senior management, and we're deeply committed to increasing women's business enterprise representation across Kroger's supply chain. We're proud that this intentional approach to inclusion has once again earned us WBENC's prestigious 'Top Corporations' recognition."" | Women's Business Enterprise National Council recognizes company for best-in-class supplier diversity program and 50% increase in spend with women-owned businesses | The Top Corporations for Women's Business Enterprises list is the only national award program honoring corporations for establishing supplier diversity initiatives that proactively integrate women-owned businesses into their supply chains. The 75 companies named to the prestigious list will be recognized at the 2020 WBENC Summit & Salute, a gathering of more than 1,800 entrepreneurs and corporate business leaders taking place March 16-18 in Nashville, Tenn.",3,"76, 20, 66","diversity, Diversity and Inclusion",KR - Kroger Named Top Corporation for Women-Owned Businesses - 03-Feb-20 - PRN.pdf
The Kroger Co.,"Corporate Social Responsibility, Human Interest Groups","""Kroger is honored to be selected as one of the top 50 companies for creating multicultural business opportunities,"" said Reuben Shaffer, Kroger's chief diversity officer. ""We are inspired daily to foster a diverse, respectful and inclusive business by the nearly 1,000 minority and women-owned businesses we work with. What makes this recognition so important to us is that the Div50 is directly selected by diversity business owners in the U.S."" | CINCINNATI, Jan. 16, 2012 /PRNewswire/ -- The Kroger Co. (NYSE: KR) today was honored to be named one of the ""Top 50 Organizations for Multicultural Business Opportunities"" by DiversityBusiness.com. | Kroger was selected by more than 1.2 million women and minority-owned business owners who voted in an online election to name the Div50 – a listing of the top 50 corporate and organizational buyers of diversity products and services throughout the U.S. This is the third consecutive year that Kroger has received this recognition. | Kroger has been a leader in supplier diversity in all aspects of its business for more than 30 years. Kroger currently spends more than $1 billion annually with diversity businesses. | The full list of the Div50 can be found here: http://www.diversitybusiness.com/Resources/DivLists/2012/DivTop50/2012Div50C.htm.",5,"70, 29, 54, 30, 11","diversity, Chief Diversity Officer",KR - Kroger Ranks Among the Top 50 Organizations for Multicultural Business Opportunities - 16-Jan-12 - PRN.pdf
The Kroger Co.,Human Interest Groups,"""We are honored to be included in Hispanic Network Magazine's  'Best of the Best' list,"" said Reuben Shaffer, Kroger's chief diversity officer. ""Kroger's commitment is to identify, create and develop sustainable business partnerships with minority-owned and women-owned businesses that support our growth and business objectives, and help us consistently meet the needs of our customers."" | Kroger Recognized for Top Supplier Diversity Program for Hispanics  Thursday, August 15, 2013 02:15:00 PM (GMT) | CINCINNATI, Aug. 15, 2013 /PRNewswire/ -- The Kroger Co. (NYSE: KR) today was named one of the nation's 2013 ""Best of the Best"" by Hispanic Network Magazine for Top Supplier Diversity Programs for Hispanics.   | Kroger, one of the world's largest retailers, employs 343,000 associates who serve customers in 2,419 supermarkets and multi-department stores in 31 states under two dozen local banner names including Kroger, City Market, Dillons, Jay C, Food 4 Less, Fred Meyer, Fry's, King Soopers, QFC, Ralphs and Smith's. The company also operates 784 convenience stores, 322 fine jewelry stores, 1,182 supermarket fuel centers and 37 food processing plants in the U.S. Recognized by Forbes as the most generous company in America, Kroger supports hunger relief, breast cancer awareness, the military and their families, and more than 30,000 schools and grassroots organizations. Kroger contributes food and funds equal to 200 million meals a year through more than 80 Feeding America food bank partners. A leader in supplier diversity, Kroger is a proud member of the Billion Dollar Roundtable and the U.S. Hispanic Chamber's Million Dollar Club.",4,"55, 16, 34, 144","diversity, Chief Diversity Officer",KR - Kroger Recognized for Top Supplier Diversity Program for Hispanics - 15-Aug-13 - PRN.pdf
The Kroger Co.,"Earnings, Dividends & Forecasts",Continued investment in Kroger associates with average hourly rate now over  $20 with comprehensive benefits factored in Achieved record employee retention in one of the tightest labor markets in years Recognized among the top 20 companies in the Wall Street Journal  diversity and inclusion ranking for S&P 500 companies Six emerging Kroger leaders named 2019 Progressive Grocer's GenNext Award winners,1,60,Diversity and Inclusion,KR - Kroger Reports Third Quarter 2019 Results - 05-Dec-19 - PRN.pdf
,,,0,0,,KR - The Kroger Co.(KR-US) Schedules Annual General Meeting for 22-June-2017 1100 AM ET - 12-May-17 - FCSTEV.pdf
,,,0,0,,KR - The Kroger Co.(KR-US) Schedules Annual General Meeting for 23-June-2016 1100 AM ET - 26-May-16 - FCSTEV.pdf
,,,0,0,,KR - The Kroger Co.(KR-US) Schedules Annual General Meeting for 25-June-2020 1100 AM ET - 08-May-20 - FCSTEV.pdf
,,,0,0,,KR - The Kroger Co.(KR-US) Schedules Annual General Meeting for 28-June-2018 1100 AM ET - 17-May-18 - FCSTEV.pdf
,,,0,0,,KR - The Kroger Co.(KR-US) Schedules Investor Meeting for 5-November-2019 900 AM ET - 12-Sep-19 - FCSTEV.pdf
,,,0,0,,KR - The Kroger Co.(KR-US) Schedules Q1 2016 Earnings Call for 16-June-2016 1000 AM ET - 03-Jun-16 - FCSTEV.pdf
,,,0,0,,KR - The Kroger Co.(KR-US) Schedules Q4 2017 Earnings Call for 8-March-2018 1000 AM ET - 08-Mar-17 - FCSTEV.pdf
The Kroger Co.,Public Safety,"EVERFI, Inc. is the leading education technology company that provides learners of all ages education for the real world, through innovative and scalable digital learning. Founded in 2008, EVERFI has certified over 16 million learners in critical skill areas with more than 4,300 partners in all 50 U.S. States and Canada. EVERFI is an industry convenor that builds Networks to tackle the toughest social issues, including the Campus Prevention Network, a coalition of higher education institutions committed to campus sexual assault and alcohol abuse prevention; and the Financial Capability Network, a coalition of industry leaders dedicated to improving financial outcomes for communities across the country.",1,105,sexual assault,"KR, 0B0D8Z - Kroger Expands Prescription Drug Safety Program for Teens - 06-Sep-18 - PRN.pdf"
Kendall Law Group,Lawsuit,"Plano resident Karl Tipple, 24, filed the suit on September 5 in the U.S. District Court for the Eastern District of Texas in Plano, case number 4:12-CV-00573, after receiving Right to Sue Letters from the Equal Employment Opportunity Commission and Texas Workforce Commission.",1,43,Equal Employment Opportunity,"KR, 0B17BB - Former Kroger Employee Files Lawsuit with Claims of Disability Discrimination, Harassment - 10-Sep-12 - BW.pdf"
The Kroger Co.,Public Safety,"About the Cardinal Health Foundation The Cardinal Health Foundation is a private charitable organization created to help build healthier, more equitable communities, where all people have the opportunity to live healthy lives and share their perspectives and experiences – communities where equity, diversity and inclusion thrive.",1,46,Diversity and Inclusion,"KR, 0B2GV6 - Kroger and Cardinal Health Foundation to Host Drug Take Back Events across 25 States on October 26 - 22-Oct-19 - PRN.pdf"
,,,0,0,,"LB - L Brands, Inc.(LB-US) Schedules Q2 2017 Earnings Call for 17-August-2017 900 AM ET - 27-Jan-17 - FCSTEV.pdf"
,Directors and Officers,"Bellinger is an Adjunct Lecturer and Research Fellow at the Harvard Kennedy School.  She is an internationally recognized expert on diversity, inclusion and leadership development and serves on the boards of Pattern Energy Group, Inc. (NASDAQ:PEGI), Sodexo SA (EPA:SW) and Sonepar Group.",1,42,diversity,"LB, SW, 0FV8TF... - L Brands, Inc. Names Two New Members to Its board of Directors - 22-Aug-17 - PMZ.pdf"
